V262: Year survey,B_COUNTRY_ALPHA: Country code ISO 3166 alpha,N_REGION_ISO: Region (ISO),G_TOWNSIZE2: Settlement size_5 groups,V240: Sex,V242: Age,V247: Language at home,V57: Marital status,V248R: Highest educational level: Respondent (recoded into 3 groups),V238: Social class (subjective)
2011,-4,Missing,500000 and more,Male,37,Russian,Married,Higher,Upper middle class
2011,-4,Missing,500000 and more,Female,34,Russian,Single,Higher,Lower middle class
2011,-4,Missing,500000 and more,Female,31,Russian,Married,Higher,Upper middle class
2011,-4,Missing,500000 and more,Male,40,Russian,Married,Middle,Lower middle class
2011,-4,Missing,500000 and more,Female,28,Russian,Single,Higher,Lower middle class
2011,-4,Missing,500000 and more,Female,33,Russian,Married,Higher,Upper middle class
2011,-4,Missing,500000 and more,Female,47,Russian,Single,Higher,Working class
2011,-4,Missing,500000 and more,Female,53,Russian,Married,Middle,Upper middle class
2011,-4,Missing,500000 and more,Female,28,Russian,Married,Higher,Upper middle class
2011,-4,Missing,500000 and more,Male,45,Russian,Married,Higher,Lower middle class
2011,-4,Missing,500000 and more,Male,39,Russian,Living together as married,Higher,Lower middle class
2011,-4,Missing,500000 and more,Male,48,Russian,Married,Higher,Lower middle class
2011,-4,Missing,500000 and more,Male,29,Russian,Single,Middle,Working class
2011,-4,Missing,500000 and more,Male,53,Russian,Married,Middle,Lower middle class
2011,-4,Missing,500000 and more,Male,29,Russian,Married,Middle,Lower middle class
2011,-4,Missing,500000 and more,Female,50,Russian,Married,Middle,Working class
2011,-4,Missing,500000 and more,Female,23,Russian,Living together as married,Middle,Lower middle class
2011,-4,Missing,500000 and more,Female,50,Russian,Divorced,Higher,Lower middle class
2011,-4,Missing,500000 and more,Female,19,Russian,Living together as married,Middle,Lower middle class
2011,-4,Missing,500000 and more,Female,71,Russian,Widowed,Middle,Lower class
2011,-4,Missing,500000 and more,Female,45,Russian,Divorced,Higher,Lower class
2011,-4,Missing,500000 and more,Male,27,Russian,Married,Higher,Lower middle class
2011,-4,Missing,500000 and more,Female,58,Russian,Married,Middle,Lower middle class
2011,-4,Missing,500000 and more,Female,81,Russian,Widowed,Middle,Lower class
2011,-4,Missing,500000 and more,Female,65,Russian,Widowed,Middle,Working class
2011,-4,Missing,500000 and more,Female,58,Russian,Divorced,Middle,Working class
2011,-4,Missing,500000 and more,Female,18,Russian,Single,Middle,Lower middle class
2011,-4,Missing,500000 and more,Male,20,Russian,Single,Middle,Working class
2011,-4,Missing,500000 and more,Female,49,Russian,Single,Middle,Working class
2011,-4,Missing,500000 and more,Male,42,Russian,Married,Middle,Lower middle class
2011,-4,Missing,500000 and more,Female,45,Russian,Widowed,Middle,Working class
2011,-4,Missing,500000 and more,Male,40,Russian,Married,Middle,Working class
2011,-4,Missing,500000 and more,Female,34,Russian,Married,Middle,Upper middle class
2011,-4,Missing,500000 and more,Male,25,Russian,Single,Higher,Upper middle class
2011,-4,Missing,500000 and more,Female,34,Russian,Married,Higher,Lower middle class
2011,-4,Missing,500000 and more,Male,30,Russian,Married,Higher,Upper middle class
2011,-4,Missing,500000 and more,Male,44,Russian,Married,Higher,Upper middle class
2011,-4,Missing,500000 and more,Female,25,Russian,Married,Higher,Upper middle class
2011,-4,Missing,500000 and more,Male,58,Russian,Divorced,Higher,Lower middle class
2011,-4,Missing,500000 and more,Female,26,Russian,Living together as married,Higher,Upper middle class
2011,-4,Missing,500000 and more,Male,57,Russian,Married,Higher,Upper middle class
2011,-4,Missing,500000 and more,Female,34,Russian,Married,Higher,Upper middle class
2011,-4,Missing,500000 and more,Female,50,Russian,Single,Higher,Don´t know
2011,-4,Missing,500000 and more,Female,56,Russian,Divorced,Middle,Lower middle class
2011,-4,Missing,500000 and more,Female,46,Russian,Married,Higher,Lower middle class
2011,-4,Missing,500000 and more,Male,52,Russian,Separated,Higher,Lower middle class
2011,-4,Missing,500000 and more,Male,43,Russian,Married,Middle,Lower middle class
2011,-4,Missing,500000 and more,Female,48,Russian,Widowed,Higher,Upper middle class
2011,-4,Missing,500000 and more,Female,56,Russian,Divorced,Higher,Lower class
2011,-4,Missing,500000 and more,Female,55,Russian,Divorced,Higher,Lower middle class
2011,-4,Missing,500000 and more,Male,33,Russian,Married,Middle,Working class
2011,-4,Missing,500000 and more,Male,38,Russian,Married,Middle,Working class
2011,-4,Missing,500000 and more,Male,60,Russian,Married,Middle,Lower middle class
2011,-4,Missing,500000 and more,Female,60,Russian,Divorced,Middle,Lower class
2011,-4,Missing,500000 and more,Male,71,Russian,Living together as married,Middle,Lower middle class
2011,-4,Missing,500000 and more,Male,55,Russian,Married,Middle,Lower middle class
2011,-4,Missing,500000 and more,Female,45,Russian,Divorced,Higher,Don´t know
2011,-4,Missing,500000 and more,Female,46,Russian,Divorced,Middle,Don´t know
2011,-4,Missing,500000 and more,Female,46,Russian,Divorced,Higher,Don´t know
2011,-4,Missing,500000 and more,Male,21,Russian,Single,Middle,No answer
2011,-4,Missing,500000 and more,Male,25,Russian,Single,Middle,No answer
2011,-4,Missing,20000-100000,Female,31,Russian,Married,Middle,Lower middle class
2011,-4,Missing,20000-100000,Male,45,Russian,Married,Middle,Don´t know
2011,-4,Missing,20000-100000,Female,51,Russian,Divorced,Middle,Don´t know
2011,-4,Missing,20000-100000,Male,48,Russian,Divorced,Middle,Lower middle class
2011,-4,Missing,20000-100000,Male,43,Russian,Married,Middle,No answer
2011,-4,Missing,20000-100000,Female,45,Russian,Single,Middle,Don´t know
2011,-4,Missing,20000-100000,Male,30,Russian,Divorced,Middle,Lower middle class
2011,-4,Missing,20000-100000,Male,37,Russian,Single,Middle,No answer
2011,-4,Missing,20000-100000,Female,36,Russian,Divorced,Middle,No answer
2011,-4,Missing,20000-100000,Female,57,Russian,Divorced,Middle,Lower middle class
2011,-4,Missing,20000-100000,Male,28,Russian,Married,Middle,Don´t know
2011,-4,Missing,20000-100000,Female,20,Russian,Divorced,Middle,Don´t know
2011,-4,Missing,20000-100000,Female,51,Russian,Divorced,Middle,Lower middle class
2011,-4,Missing,20000-100000,Male,53,Russian,Married,Middle,Lower middle class
2011,-4,Missing,20000-100000,Female,42,Russian,Divorced,Middle,Don´t know
2011,-4,Missing,20000-100000,Female,56,Russian,Divorced,Middle,Lower middle class
2011,-4,Missing,"Under 5,000",Female,83,Russian,Married,Middle,Don´t know
2011,-4,Missing,"Under 5,000",Male,51,Russian,Divorced,Middle,No answer
2011,-4,Missing,"Under 5,000",Male,49,Russian,Divorced,Middle,No answer
2011,-4,Missing,"Under 5,000",Female,49,Russian,Married,Middle,Lower middle class
2011,-4,Missing,"Under 5,000",Female,46,Russian,Divorced,Middle,Don´t know
2011,-4,Missing,"Under 5,000",Female,80,Russian,Widowed,Middle,Don´t know
2011,-4,Missing,"Under 5,000",Male,30,Russian,Married,Middle,No answer
2011,-4,Missing,"Under 5,000",Male,33,Russian,Divorced,Middle,Working class
2011,-4,Missing,"Under 5,000",Male,61,Russian,Widowed,Middle,Working class
2011,-4,Missing,"Under 5,000",Male,64,Russian,Widowed,Middle,Working class
2011,-4,Missing,"Under 5,000",Female,74,Russian,Widowed,Middle,Don´t know
2011,-4,Missing,"Under 5,000",Male,32,Russian,Divorced,Middle,No answer
2011,-4,Missing,"Under 5,000",Female,35,Russian,Widowed,Middle,Don´t know
2011,-4,Missing,"Under 5,000",Female,73,Russian,Widowed,Middle,Don´t know
2011,-4,Missing,"Under 5,000",Female,85,Russian,Widowed,Middle,Don´t know
2011,-4,Missing,"Under 5,000",Female,31,Russian,Divorced,Middle,No answer
2011,-4,Missing,"Under 5,000",Female,38,Russian,Single,Middle,Lower middle class
2011,-4,Missing,"Under 5,000",Female,20,Russian,Single,Higher,No answer
2011,-4,Missing,"Under 5,000",Male,48,Russian,Divorced,Middle,No answer
2011,-4,Missing,100000-500000,Female,42,Russian,Divorced,Higher,Don´t know
2011,-4,Missing,100000-500000,Female,37,Russian,Divorced,Middle,Working class
2011,-4,Missing,100000-500000,Male,24,Russian,Single,Middle,Working class
2011,-4,Missing,100000-500000,Male,49,Russian,Married,Middle,Don´t know
2011,-4,Missing,100000-500000,Male,71,Russian,Divorced,Middle,No answer
2011,-4,Missing,100000-500000,Female,56,Russian,Divorced,Middle,Working class
2011,-4,Missing,100000-500000,Female,66,Russian,Widowed,Middle,Working class
2011,-4,Missing,100000-500000,Female,79,Russian,Widowed,Middle,Working class
2011,-4,Missing,100000-500000,Male,59,Russian,Married,Middle,Lower middle class
2011,-4,Missing,100000-500000,Female,20,Russian,Single,Higher,Lower middle class
2011,-4,Missing,100000-500000,Female,55,Russian,Divorced,Middle,Don´t know
2011,-4,Missing,100000-500000,Male,22,Russian,Single,Middle,Don´t know
2011,-4,Missing,100000-500000,Male,62,Russian,Single,Middle,Working class
2011,-4,Missing,100000-500000,Male,54,Russian,Divorced,Middle,Working class
2011,-4,Missing,100000-500000,Female,35,Russian,Divorced,Middle,Working class
2011,-4,Missing,100000-500000,Male,67,Russian,Living together as married,Middle,Lower middle class
2011,-4,Missing,100000-500000,Female,68,Russian,Divorced,Middle,No answer
2011,-4,Missing,"Under 5,000",Male,70,Russian,Married,Middle,Lower class
2011,-4,Missing,"Under 5,000",Female,41,Russian,Married,Middle,Working class
2011,-4,Missing,"Under 5,000",Female,72,Russian,Widowed,Middle,Working class
2011,-4,Missing,"Under 5,000",Male,19,Russian,Single,Middle,Lower class
2011,-4,Missing,"Under 5,000",Male,50,Russian,Divorced,Middle,Lower class
2011,-4,Missing,"Under 5,000",Female,59,Russian,Divorced,Middle,Lower class
2011,-4,Missing,"Under 5,000",Female,52,Russian,Widowed,Middle,Working class
2011,-4,Missing,"Under 5,000",Female,53,Russian,Separated,Middle,Working class
2011,-4,Missing,"Under 5,000",Male,38,Russian,Married,Higher,Lower middle class
2011,-4,Missing,"Under 5,000",Female,72,Russian,Married,Middle,Lower class
2011,-4,Missing,"Under 5,000",Female,49,Russian,Divorced,Middle,Lower middle class
2011,-4,Missing,"Under 5,000",Female,74,Russian,Widowed,Middle,Lower class
2011,-4,Missing,"Under 5,000",Male,50,Russian,Married,Middle,Lower class
2011,-4,Missing,"Under 5,000",Male,51,Russian,Married,Middle,Working class
2011,-4,Missing,"Under 5,000",Female,46,Russian,Divorced,Middle,Working class
2011,-4,Missing,"Under 5,000",Male,56,Russian,Married,Middle,Working class
2011,-4,Missing,"Under 5,000",Female,75,Russian,Widowed,Middle,Lower middle class
2011,-4,Missing,"Under 5,000",Male,61,Russian,Married,Middle,Lower class
2011,-4,Missing,"Under 5,000",Male,66,Russian,Married,Middle,Lower class
2011,-4,Missing,100000-500000,Male,18,Russian,Single,Middle,Upper middle class
2011,-4,Missing,100000-500000,Male,23,Russian,Single,Higher,Upper class
2011,-4,Missing,100000-500000,Female,26,Russian,Married,Higher,Don´t know
2011,-4,Missing,100000-500000,Male,19,Russian,Single,Higher,Don´t know
2011,-4,Missing,100000-500000,Female,50,Russian,Divorced,Higher,Lower middle class
2011,-4,Missing,100000-500000,Female,50,Russian,Married,Higher,Lower middle class
2011,-4,Missing,100000-500000,Female,20,Russian,Married,Higher,Lower class
2011,-4,Missing,100000-500000,Female,18,Russian,Single,Middle,Upper middle class
2011,-4,Missing,100000-500000,Female,49,Russian,Divorced,Middle,Working class
2011,-4,Missing,100000-500000,Female,33,Russian,Single,Middle,Working class
2011,-4,Missing,100000-500000,Female,53,Russian,Living together as married,Middle,Working class
2011,-4,Missing,100000-500000,Female,39,Russian,Married,Higher,Lower middle class
2011,-4,Missing,100000-500000,Female,61,Russian,Married,Middle,Working class
2011,-4,Missing,100000-500000,Female,55,Russian,Divorced,Higher,Working class
2011,-4,Missing,100000-500000,Female,61,Russian,Married,Middle,Working class
2011,-4,Missing,100000-500000,Female,66,Russian,Married,Middle,Working class
2011,-4,Missing,100000-500000,Female,57,Russian,Single,Middle,Don´t know
2011,-4,Missing,100000-500000,Female,44,Russian,Married,Middle,Lower middle class
2011,-4,Missing,100000-500000,Female,63,Russian,Married,Middle,Working class
2011,-4,Missing,100000-500000,Male,25,Russian,Married,Middle,Working class
2011,-4,Missing,100000-500000,Male,38,Russian,Single,Middle,Working class
2011,-4,Missing,100000-500000,Male,51,Russian,Married,Middle,Lower middle class
2011,-4,Missing,100000-500000,Female,68,Russian,Widowed,Middle,Lower middle class
2011,-4,Missing,100000-500000,Female,66,Russian,Separated,Middle,Working class
2011,-4,Missing,100000-500000,Female,67,Russian,Widowed,Higher,Working class
2011,-4,Missing,100000-500000,Female,68,Russian,Widowed,Middle,Upper middle class
2011,-4,Missing,100000-500000,Male,25,Russian,Single,Higher,Upper middle class
2011,-4,Missing,100000-500000,Female,50,Russian,Separated,Middle,Working class
2011,-4,Missing,100000-500000,Male,63,Russian,Married,Middle,Working class
2011,-4,Missing,100000-500000,Female,87,Russian,Widowed,Higher,Lower middle class
2011,-4,Missing,100000-500000,Female,45,Russian,Married,Higher,Lower middle class
2011,-4,Missing,100000-500000,Female,56,Russian,Divorced,Middle,Working class
2011,-4,Missing,100000-500000,Male,63,Russian,Married,Middle,Working class
2011,-4,Missing,100000-500000,Male,36,Russian,Married,Higher,Upper middle class
2011,-4,Missing,100000-500000,Female,49,Russian,Divorced,Middle,Lower middle class
2011,-4,Missing,100000-500000,Male,50,Russian,Married,Middle,Lower middle class
2011,-4,Missing,100000-500000,Female,66,Russian,Widowed,Middle,Lower middle class
2011,-4,Missing,20000-100000,Female,84,Russian,Widowed,Middle,Working class
2011,-4,Missing,20000-100000,Female,85,Russian,Widowed,Middle,Working class
2011,-4,Missing,20000-100000,Female,47,Russian,Single,Middle,Working class
2011,-4,Missing,20000-100000,Female,74,Russian,Widowed,Middle,Working class
2011,-4,Missing,20000-100000,Female,46,Russian,Married,Middle,Working class
2011,-4,Missing,20000-100000,Female,57,Russian,Married,Middle,Lower middle class
2011,-4,Missing,20000-100000,Male,59,Russian,Married,Middle,Lower middle class
2011,-4,Missing,20000-100000,Female,55,Russian,Married,Middle,Lower middle class
2011,-4,Missing,20000-100000,Female,62,Russian,Married,Middle,Working class
2011,-4,Missing,20000-100000,Male,63,Russian,Divorced,Middle,Working class
2011,-4,Missing,20000-100000,Male,70,Russian,Married,Middle,Working class
2011,-4,Missing,20000-100000,Female,65,Russian,Divorced,Higher,Working class
2011,-4,Missing,20000-100000,Male,38,Russian,Married,Middle,Working class
2011,-4,Missing,20000-100000,Female,57,Russian,Married,Middle,Working class
2011,-4,Missing,20000-100000,Female,54,Russian,Married,Middle,Working class
2011,-4,Missing,5000-20000,Female,58,Russian,Widowed,Middle,Lower class
2011,-4,Missing,5000-20000,Male,28,Russian,Married,Middle,Upper middle class
2011,-4,Missing,5000-20000,Female,56,Russian,Married,Higher,Working class
2011,-4,Missing,5000-20000,Female,43,Russian,Married,Higher,Lower class
2011,-4,Missing,5000-20000,Male,44,Russian,Married,Middle,Lower class
2011,-4,Missing,5000-20000,Male,62,Russian,Married,Middle,Working class
2011,-4,Missing,5000-20000,Female,25,Russian,Married,Higher,Don´t know
2011,-4,Missing,5000-20000,Female,53,Russian,Married,Middle,Working class
2011,-4,Missing,5000-20000,Female,62,Russian,Married,Middle,Working class
2011,-4,Missing,5000-20000,Female,61,Russian,Married,Middle,Working class
2011,-4,Missing,5000-20000,Female,74,Russian,Widowed,Higher,Lower middle class
2011,-4,Missing,5000-20000,Female,60,Russian,Widowed,Middle,Working class
2011,-4,Missing,5000-20000,Male,72,Russian,Married,Lower,Working class
2011,-4,Missing,5000-20000,Male,52,Russian,Divorced,Middle,Lower middle class
2011,-4,Missing,5000-20000,Male,34,Russian,Married,Middle,Lower middle class
2011,-4,Missing,5000-20000,Female,79,Russian,Single,Lower,Don´t know
2011,-4,Missing,5000-20000,Male,63,Russian,Married,Middle,Lower class
2011,-4,Missing,5000-20000,Female,56,Russian,Married,Higher,SE:Inapplicable ; RU:Inappropriate response; BH: Missing; HT: Dropped out survey{Inappropriate}
2011,-4,Missing,5000-20000,Female,74,Russian,Widowed,Middle,Working class
2011,-4,Missing,5000-20000,Male,55,Russian,Divorced,Middle,Working class
2011,-4,Missing,5000-20000,Male,21,Other,Married,Middle,Working class
2011,-4,Missing,5000-20000,Male,66,Russian,Married,Middle,Lower middle class
2011,-4,Missing,5000-20000,Female,47,Russian,Widowed,Middle,Working class
2011,-4,Missing,5000-20000,Female,73,Russian,Married,Middle,Working class
2011,-4,Missing,5000-20000,Male,18,Russian,Single,Middle,Upper middle class
2011,-4,Missing,5000-20000,Female,70,Russian,Widowed,Middle,Don´t know
2011,-4,Missing,5000-20000,Female,40,Russian,Married,Middle,Lower middle class
2011,-4,Missing,5000-20000,Female,23,Russian,Married,Middle,Working class
2011,-4,Missing,5000-20000,Female,31,Russian,Married,Middle,Working class
2011,-4,Missing,5000-20000,Female,42,Russian,Divorced,Middle,Working class
2011,-4,Missing,5000-20000,Female,53,Russian,Married,Middle,Upper middle class
2011,-4,Missing,5000-20000,Female,66,Russian,Widowed,Higher,Lower middle class
2011,-4,Missing,5000-20000,Male,37,Russian,Married,Middle,Working class
2011,-4,Missing,5000-20000,Male,52,Russian,Married,Middle,Working class
2011,-4,Missing,5000-20000,Male,62,Russian,Married,Middle,Working class
2011,-4,Missing,5000-20000,Female,60,Russian,Widowed,Middle,Lower middle class
2011,-4,Missing,5000-20000,Male,65,Russian,Married,Middle,Lower middle class
2011,-4,Missing,500000 and more,Male,34,Russian,Married,Middle,Working class
2011,-4,Missing,500000 and more,Male,31,Russian,Married,Middle,Working class
2011,-4,Missing,500000 and more,Male,31,Russian,Married,Middle,Working class
2011,-4,Missing,500000 and more,Male,18,Russian,Single,Middle,Don´t know
2011,-4,Missing,500000 and more,Male,19,Russian,Single,Middle,Lower class
2011,-4,Missing,500000 and more,Male,19,Russian,Single,Middle,Lower class
2011,-4,Missing,500000 and more,Male,40,Russian,Single,Higher,Lower middle class
2011,-4,Missing,500000 and more,Female,26,Russian,Married,Higher,Working class
2011,-4,Missing,500000 and more,Male,31,Russian,Married,Middle,Working class
2011,-4,Missing,500000 and more,Female,77,Russian,Widowed,Middle,Lower class
2011,-4,Missing,500000 and more,Male,77,Russian,Married,Higher,Lower class
2011,-4,Missing,500000 and more,Female,35,Russian,No answer,Higher,Working class
2011,-4,Missing,500000 and more,Female,46,Russian,Divorced,Middle,Working class
2011,-4,Missing,500000 and more,Female,51,Russian,Divorced,Middle,Lower middle class
2011,-4,Missing,500000 and more,Female,77,Russian,Widowed,Lower,Lower class
2011,-4,Missing,500000 and more,Female,26,Russian,Married,Middle,Lower middle class
2011,-4,Missing,500000 and more,Male,48,Russian,Married,Middle,Working class
2011,-4,Missing,500000 and more,Female,27,Russian,Married,Middle,Don´t know
2011,-4,Missing,500000 and more,Female,83,Russian,Widowed,Lower,Lower class
2011,-4,Missing,500000 and more,Female,60,Russian,Widowed,Middle,Working class
2011,-4,Missing,500000 and more,Female,83,Russian,Widowed,Lower,Working class
2011,-4,Missing,500000 and more,Female,32,Russian,Married,Higher,Working class
2011,-4,Missing,20000-100000,Male,53,Russian,Single,Middle,Working class
2011,-4,Missing,20000-100000,Female,60,Russian,Widowed,Middle,Lower class
2011,-4,Missing,20000-100000,Female,58,Russian,Married,Middle,Working class
2011,-4,Missing,20000-100000,Female,33,Russian,Living together as married,Middle,Working class
2011,-4,Missing,20000-100000,Female,24,Russian,Married,Middle,Working class
2011,-4,Missing,20000-100000,Female,33,Russian,Single,Middle,Lower middle class
2011,-4,Missing,20000-100000,Male,58,Russian,Divorced,Middle,Lower class
2011,-4,Missing,20000-100000,Female,24,Russian,Living together as married,Middle,Lower middle class
2011,-4,Missing,20000-100000,Female,26,Russian,Living together as married,Middle,Lower middle class
2011,-4,Missing,20000-100000,Female,44,Russian,Divorced,Middle,Lower middle class
2011,-4,Missing,20000-100000,Female,55,Russian,Divorced,Middle,Lower class
2011,-4,Missing,20000-100000,Female,55,Russian,Widowed,Middle,Lower class
2011,-4,Missing,20000-100000,Female,33,Russian,Married,Middle,Working class
2011,-4,Missing,20000-100000,Male,24,Russian,Divorced,Higher,Working class
2011,-4,Missing,20000-100000,Female,72,Russian,Divorced,Middle,Lower middle class
2011,-4,Missing,20000-100000,Female,54,Russian,Widowed,Middle,Lower middle class
2011,-4,Missing,20000-100000,Male,83,Russian,Widowed,Middle,Lower middle class
2011,-4,Missing,20000-100000,Male,59,Russian,Widowed,Middle,Lower class
2011,-4,Missing,20000-100000,Male,60,Russian,Widowed,Middle,Lower middle class
2011,-4,Missing,"Under 5,000",Female,75,Russian,Single,Middle,Lower class
2011,-4,Missing,"Under 5,000",Female,53,Russian,Divorced,Middle,Working class
2011,-4,Missing,"Under 5,000",Female,45,Russian,Single,Middle,Working class
2011,-4,Missing,"Under 5,000",Female,20,Russian,Single,Middle,Lower class
2011,-4,Missing,"Under 5,000",Male,33,Russian,Married,Middle,Lower class
2011,-4,Missing,"Under 5,000",Female,61,Russian,Divorced,Middle,Lower class
2011,-4,Missing,"Under 5,000",Female,22,Russian,Married,Middle,Working class
2011,-4,Missing,"Under 5,000",Female,67,Russian,Living together as married,Middle,Lower class
2011,-4,Missing,"Under 5,000",Female,61,Russian,Living together as married,Middle,Working class
2011,-4,Missing,"Under 5,000",Male,38,Russian,Living together as married,Higher,Lower class
2011,-4,Missing,"Under 5,000",Male,39,Russian,Married,Middle,Lower class
