V260: Year survey,B_COUNTRY_ALPHA: Country code ISO 3166 alpha,N_REGION_ISO: Region ISO,V255CS: Size of town (country specific),V235: Sex,V237R: Age recoded (6 intervals),V222: Language at home,V55: Marital status,V238R: Highest educational level: Respondent (recoded into 3 groups),V253R: Income level (Recoded),Counts
2006,-4,Missing,"RU: 100-249,9 Tsd.",Female,45-54,Russian,Married,Middle,No answer,1
2006,-4,Missing,"RU: 100-249,9 Tsd.",Female,45-54,Russian,Separated,Higher,No answer,1
2006,-4,Missing,"RU: 100-249,9 Tsd.",Female,45-54,Russian,Widowed,Higher,Medium,2
2006,-4,Missing,"RU: 100-249,9 Tsd.",Female,45-54,Russian,Widowed,Higher,No answer,1
2006,-4,Missing,"RU: 100-249,9 Tsd.",Female,45-54,Russian,Widowed,Middle,Low,3
2006,-4,Missing,"RU: 100-249,9 Tsd.",Female,45-54,Russian,Widowed,Middle,Medium,1
2006,-4,Missing,"RU: 100-249,9 Tsd.",Female,45-54,Russian,Widowed,Middle,No answer,1
2006,-4,Missing,"RU: 100-249,9 Tsd.",Female,45-54,Tatar,Divorced,Middle,Don´t know,1
2006,-4,Missing,"RU: 100-249,9 Tsd.",Female,55-64,Russian,Living together as married,Higher,Low,1
2006,-4,Missing,"RU: 100-249,9 Tsd.",Female,55-64,Russian,Married,Don´t know,Other missing,1
2006,-4,Missing,"RU: 100-249,9 Tsd.",Female,55-64,Russian,Married,Higher,High,2
2006,-4,Missing,"RU: 100-249,9 Tsd.",Female,55-64,Russian,Married,Higher,Medium,1
2006,-4,Missing,"RU: 100-249,9 Tsd.",Female,55-64,Russian,Married,Middle,Medium,5
2006,-4,Missing,"RU: 100-249,9 Tsd.",Female,55-64,Russian,Single/Never married,Middle,Low,1
2006,-4,Missing,"RU: 100-249,9 Tsd.",Female,55-64,Russian,Widowed,Middle,Low,1
2006,-4,Missing,"RU: 100-249,9 Tsd.",Female,55-64,Russian,Widowed,Middle,Medium,1
2006,-4,Missing,"RU: 100-249,9 Tsd.",Female,55-64,Russian,Widowed,Middle,No answer,1
2006,-4,Missing,"RU: 100-249,9 Tsd.",Female,"65 and more years""",Russian,Married,Don´t know,Other missing,1
2006,-4,Missing,"RU: 100-249,9 Tsd.",Female,"65 and more years""",Russian,Married,Lower,Medium,1
2006,-4,Missing,"RU: 100-249,9 Tsd.",Female,"65 and more years""",Russian,Married,Middle,Medium,3
2006,-4,Missing,"RU: 100-249,9 Tsd.",Female,"65 and more years""",Russian,Single/Never married,Middle,Low,1
2006,-4,Missing,"RU: 100-249,9 Tsd.",Female,"65 and more years""",Russian,Widowed,Higher,High,1
2006,-4,Missing,"RU: 100-249,9 Tsd.",Female,"65 and more years""",Russian,Widowed,Higher,Low,1
2006,-4,Missing,"RU: 100-249,9 Tsd.",Female,"65 and more years""",Russian,Widowed,Lower,Low,1
2006,-4,Missing,"RU: 100-249,9 Tsd.",Female,"65 and more years""",Russian,Widowed,Lower,Medium,1
2006,-4,Missing,"RU: 100-249,9 Tsd.",Female,"65 and more years""",Russian,Widowed,Middle,Low,2
2006,-4,Missing,"RU: 100-249,9 Tsd.",Female,"65 and more years""",Russian,Widowed,Middle,Medium,2
2006,-4,Missing,"RU: 100-249,9 Tsd.",Female,"65 and more years""",Tatar,Widowed,Middle,Medium,1
2006,-4,Missing,"RU: 100-249,9 Tsd.",Male,15-24,Other,Single/Never married,Middle,Medium,1
2006,-4,Missing,"RU: 100-249,9 Tsd.",Male,15-24,Russian,Living together as married,Middle,Low,1
2006,-4,Missing,"RU: 100-249,9 Tsd.",Male,15-24,Russian,Married,Higher,High,1
2006,-4,Missing,"RU: 100-249,9 Tsd.",Male,15-24,Russian,Married,Higher,Medium,1
2006,-4,Missing,"RU: 100-249,9 Tsd.",Male,15-24,Russian,Married,Middle,Medium,1
2006,-4,Missing,"RU: 100-249,9 Tsd.",Male,15-24,Russian,Missing; Not asked by the interviewer,Higher,Don´t know,1
2006,-4,Missing,"RU: 100-249,9 Tsd.",Male,15-24,Russian,Separated,Middle,Medium,1
2006,-4,Missing,"RU: 100-249,9 Tsd.",Male,15-24,Russian,Single/Never married,Higher,High,1
2006,-4,Missing,"RU: 100-249,9 Tsd.",Male,15-24,Russian,Single/Never married,Higher,Medium,1
2006,-4,Missing,"RU: 100-249,9 Tsd.",Male,15-24,Russian,Single/Never married,Higher,No answer,1
2006,-4,Missing,"RU: 100-249,9 Tsd.",Male,15-24,Russian,Single/Never married,Middle,Don´t know,5
2006,-4,Missing,"RU: 100-249,9 Tsd.",Male,15-24,Russian,Single/Never married,Middle,High,2
2006,-4,Missing,"RU: 100-249,9 Tsd.",Male,15-24,Russian,Single/Never married,Middle,Low,2
2006,-4,Missing,"RU: 100-249,9 Tsd.",Male,15-24,Russian,Single/Never married,Middle,Medium,4
2006,-4,Missing,"RU: 100-249,9 Tsd.",Male,15-24,Russian,Single/Never married,Middle,No answer,2
2006,-4,Missing,"RU: 100-249,9 Tsd.",Male,25-34,Russian,Divorced,Middle,Medium,2
2006,-4,Missing,"RU: 100-249,9 Tsd.",Male,25-34,Russian,Don´t know,Middle,No answer,1
2006,-4,Missing,"RU: 100-249,9 Tsd.",Male,25-34,Russian,Living together as married,Middle,High,2
2006,-4,Missing,"RU: 100-249,9 Tsd.",Male,25-34,Russian,Living together as married,Middle,Medium,1
2006,-4,Missing,"RU: 100-249,9 Tsd.",Male,25-34,Russian,Married,Higher,High,1
2006,-4,Missing,"RU: 100-249,9 Tsd.",Male,25-34,Russian,Married,Higher,Medium,2
2006,-4,Missing,"RU: 100-249,9 Tsd.",Male,25-34,Russian,Married,Higher,Other missing,2
2006,-4,Missing,"RU: 100-249,9 Tsd.",Male,25-34,Russian,Married,Middle,High,1
2006,-4,Missing,"RU: 100-249,9 Tsd.",Male,25-34,Russian,Separated,Middle,Medium,1
2006,-4,Missing,"RU: 100-249,9 Tsd.",Male,25-34,Russian,Single/Never married,Middle,Medium,1
2006,-4,Missing,"RU: 100-249,9 Tsd.",Male,25-34,Russian,Single/Never married,Middle,Other missing,1
2006,-4,Missing,"RU: 100-249,9 Tsd.",Male,35-44,Russian,Divorced,Middle,Low,1
2006,-4,Missing,"RU: 100-249,9 Tsd.",Male,35-44,Russian,Divorced,Middle,Medium,2
2006,-4,Missing,"RU: 100-249,9 Tsd.",Male,35-44,Russian,Married,Higher,High,2
2006,-4,Missing,"RU: 100-249,9 Tsd.",Male,35-44,Russian,Married,Higher,Medium,2
2006,-4,Missing,"RU: 100-249,9 Tsd.",Male,35-44,Russian,Married,Higher,No answer,2
2006,-4,Missing,"RU: 100-249,9 Tsd.",Male,35-44,Russian,Married,Middle,High,1
2006,-4,Missing,"RU: 100-249,9 Tsd.",Male,35-44,Russian,Married,Middle,Medium,2
2006,-4,Missing,"RU: 100-249,9 Tsd.",Male,35-44,Russian,Married,Middle,Other missing,1
2006,-4,Missing,"RU: 100-249,9 Tsd.",Male,35-44,Russian,Single/Never married,Middle,Medium,1
2006,-4,Missing,"RU: 100-249,9 Tsd.",Male,45-54,Russian,Divorced,Higher,No answer,1
2006,-4,Missing,"RU: 100-249,9 Tsd.",Male,45-54,Russian,Living together as married,Middle,Medium,2
2006,-4,Missing,"RU: 100-249,9 Tsd.",Male,45-54,Russian,Married,Higher,Don´t know,1
2006,-4,Missing,"RU: 100-249,9 Tsd.",Male,45-54,Russian,Married,Higher,High,1
2006,-4,Missing,"RU: 100-249,9 Tsd.",Male,45-54,Russian,Married,Higher,Medium,1
2006,-4,Missing,"RU: 100-249,9 Tsd.",Male,45-54,Russian,Married,Middle,High,4
2006,-4,Missing,"RU: 100-249,9 Tsd.",Male,45-54,Russian,Married,Middle,Medium,2
2006,-4,Missing,"RU: 100-249,9 Tsd.",Male,45-54,Russian,Married,Middle,Other missing,1
2006,-4,Missing,"RU: 100-249,9 Tsd.",Male,45-54,Russian,Separated,Higher,Medium,1
2006,-4,Missing,"RU: 100-249,9 Tsd.",Male,55-64,Russian,Married,Higher,High,2
2006,-4,Missing,"RU: 100-249,9 Tsd.",Male,55-64,Russian,Married,Higher,Medium,2
2006,-4,Missing,"RU: 100-249,9 Tsd.",Male,55-64,Russian,Married,Middle,High,2
2006,-4,Missing,"RU: 100-249,9 Tsd.",Male,55-64,Russian,Married,Middle,Medium,2
2006,-4,Missing,"RU: 100-249,9 Tsd.",Male,55-64,Tatar,Married,Middle,Medium,1
2006,-4,Missing,"RU: 100-249,9 Tsd.",Male,"65 and more years""",Russian,Married,Middle,High,1
2006,-4,Missing,"RU: 100-249,9 Tsd.",Male,"65 and more years""",Russian,Married,Middle,Low,1
2006,-4,Missing,"RU: 100-249,9 Tsd.",Male,"65 and more years""",Russian,Married,Middle,Medium,1
2006,-4,Missing,"RU: 100-249,9 Tsd.",Male,"65 and more years""",Russian,Separated,Higher,Medium,1
2006,-4,Missing,"RU: 100-249,9 Tsd.",Male,"65 and more years""",Russian,Separated,Middle,Medium,1
2006,-4,Missing,"RU: 100-249,9 Tsd.",Male,"65 and more years""",Russian,Widowed,Lower,Medium,1
2006,-4,Missing,RU: 1mln. and more,Female,15-24,Russian,Living together as married,Middle,High,3
2006,-4,Missing,RU: 1mln. and more,Female,15-24,Russian,Married,Higher,High,1
2006,-4,Missing,RU: 1mln. and more,Female,15-24,Russian,Married,Higher,Low,1
2006,-4,Missing,RU: 1mln. and more,Female,15-24,Russian,Married,Higher,Medium,2
2006,-4,Missing,RU: 1mln. and more,Female,15-24,Russian,Married,Middle,Don´t know,1
2006,-4,Missing,RU: 1mln. and more,Female,15-24,Russian,Married,Middle,High,5
2006,-4,Missing,RU: 1mln. and more,Female,15-24,Russian,Single/Never married,Higher,Don´t know,2
2006,-4,Missing,RU: 1mln. and more,Female,15-24,Russian,Single/Never married,Higher,High,3
2006,-4,Missing,RU: 1mln. and more,Female,15-24,Russian,Single/Never married,Higher,Medium,1
2006,-4,Missing,RU: 1mln. and more,Female,15-24,Russian,Single/Never married,Higher,No answer,1
2006,-4,Missing,RU: 1mln. and more,Female,15-24,Russian,Single/Never married,Middle,Don´t know,6
2006,-4,Missing,RU: 1mln. and more,Female,15-24,Russian,Single/Never married,Middle,High,5
2006,-4,Missing,RU: 1mln. and more,Female,15-24,Russian,Single/Never married,Middle,Low,1
2006,-4,Missing,RU: 1mln. and more,Female,15-24,Russian,Single/Never married,Middle,Medium,4
2006,-4,Missing,RU: 1mln. and more,Female,15-24,Russian,Single/Never married,Middle,No answer,1
2006,-4,Missing,RU: 1mln. and more,Female,15-24,Russian,Single/Never married,No answer,High,1
2006,-4,Missing,RU: 1mln. and more,Female,15-24,Tatar,Single/Never married,Higher,Medium,1
2006,-4,Missing,RU: 1mln. and more,Female,25-34,Russian,Divorced,Higher,High,1
2006,-4,Missing,RU: 1mln. and more,Female,25-34,Russian,Divorced,Middle,Don´t know,1
2006,-4,Missing,RU: 1mln. and more,Female,25-34,Russian,Divorced,Middle,Medium,1
2006,-4,Missing,RU: 1mln. and more,Female,25-34,Russian,Living together as married,Don´t know,No answer,1
2006,-4,Missing,RU: 1mln. and more,Female,25-34,Russian,Living together as married,Higher,High,3
2006,-4,Missing,RU: 1mln. and more,Female,25-34,Russian,Living together as married,Higher,Low,1
2006,-4,Missing,RU: 1mln. and more,Female,25-34,Russian,Living together as married,Middle,High,1
2006,-4,Missing,RU: 1mln. and more,Female,25-34,Russian,Married,Higher,Don´t know,1
2006,-4,Missing,RU: 1mln. and more,Female,25-34,Russian,Married,Higher,High,9
2006,-4,Missing,RU: 1mln. and more,Female,25-34,Russian,Married,Higher,Low,1
2006,-4,Missing,RU: 1mln. and more,Female,25-34,Russian,Married,Higher,Medium,2
2006,-4,Missing,RU: 1mln. and more,Female,25-34,Russian,Married,Higher,No answer,1
2006,-4,Missing,RU: 1mln. and more,Female,25-34,Russian,Married,Middle,Don´t know,2
2006,-4,Missing,RU: 1mln. and more,Female,25-34,Russian,Married,Middle,High,3
2006,-4,Missing,RU: 1mln. and more,Female,25-34,Russian,Married,Middle,Low,1
2006,-4,Missing,RU: 1mln. and more,Female,25-34,Russian,Married,Middle,Medium,6
2006,-4,Missing,RU: 1mln. and more,Female,25-34,Russian,Married,Middle,No answer,1
2006,-4,Missing,RU: 1mln. and more,Female,25-34,Russian,Single/Never married,Middle,Don´t know,2
2006,-4,Missing,RU: 1mln. and more,Female,25-34,Tatar,Married,Middle,Don´t know,1
2006,-4,Missing,RU: 1mln. and more,Female,25-34,Tatar,Married,Middle,High,1
2006,-4,Missing,RU: 1mln. and more,Female,35-44,Russian,Divorced,Middle,Low,1
2006,-4,Missing,RU: 1mln. and more,Female,35-44,Russian,Divorced,Middle,Medium,1
2006,-4,Missing,RU: 1mln. and more,Female,35-44,Russian,Divorced,Middle,No answer,1
2006,-4,Missing,RU: 1mln. and more,Female,35-44,Russian,Living together as married,Higher,Medium,1
2006,-4,Missing,RU: 1mln. and more,Female,35-44,Russian,Living together as married,Middle,High,2
2006,-4,Missing,RU: 1mln. and more,Female,35-44,Russian,Married,Don´t know,Medium,1
2006,-4,Missing,RU: 1mln. and more,Female,35-44,Russian,Married,Higher,Don´t know,2
2006,-4,Missing,RU: 1mln. and more,Female,35-44,Russian,Married,Higher,High,12
2006,-4,Missing,RU: 1mln. and more,Female,35-44,Russian,Married,Higher,Medium,4
2006,-4,Missing,RU: 1mln. and more,Female,35-44,Russian,Married,Higher,No answer,1
2006,-4,Missing,RU: 1mln. and more,Female,35-44,Russian,Married,Middle,High,9
2006,-4,Missing,RU: 1mln. and more,Female,35-44,Russian,Married,Middle,Low,1
2006,-4,Missing,RU: 1mln. and more,Female,35-44,Russian,Married,Middle,Medium,2
2006,-4,Missing,RU: 1mln. and more,Female,35-44,Russian,Married,Middle,No answer,1
2006,-4,Missing,RU: 1mln. and more,Female,35-44,Russian,Married,Middle,Other missing,1
2006,-4,Missing,RU: 1mln. and more,Female,35-44,Russian,No answer,Higher,No answer,1
2006,-4,Missing,RU: 1mln. and more,Female,35-44,Russian,No answer,Middle,Medium,1
2006,-4,Missing,RU: 1mln. and more,Female,35-44,Russian,Separated,Higher,Medium,1
2006,-4,Missing,RU: 1mln. and more,Female,35-44,Russian,Single/Never married,Middle,Low,1
2006,-4,Missing,RU: 1mln. and more,Female,35-44,Russian,Single/Never married,Middle,Medium,2
2006,-4,Missing,RU: 1mln. and more,Female,35-44,Russian,Widowed,Middle,Low,1
2006,-4,Missing,RU: 1mln. and more,Female,35-44,Ukrainian,Married,Higher,High,1
2006,-4,Missing,RU: 1mln. and more,Female,45-54,Russian,Divorced,Higher,Don´t know,1
2006,-4,Missing,RU: 1mln. and more,Female,45-54,Russian,Divorced,Higher,High,2
2006,-4,Missing,RU: 1mln. and more,Female,45-54,Russian,Divorced,Middle,High,3
2006,-4,Missing,RU: 1mln. and more,Female,45-54,Russian,Divorced,Middle,Low,1
2006,-4,Missing,RU: 1mln. and more,Female,45-54,Russian,Divorced,Middle,Medium,2
2006,-4,Missing,RU: 1mln. and more,Female,45-54,Russian,Living together as married,Higher,High,1
2006,-4,Missing,RU: 1mln. and more,Female,45-54,Russian,Living together as married,Higher,No answer,1
2006,-4,Missing,RU: 1mln. and more,Female,45-54,Russian,Living together as married,Middle,Medium,2
2006,-4,Missing,RU: 1mln. and more,Female,45-54,Russian,Married,Higher,High,5
2006,-4,Missing,RU: 1mln. and more,Female,45-54,Russian,Married,Higher,Medium,2
2006,-4,Missing,RU: 1mln. and more,Female,45-54,Russian,Married,Middle,High,13
2006,-4,Missing,RU: 1mln. and more,Female,45-54,Russian,Married,Middle,Low,3
2006,-4,Missing,RU: 1mln. and more,Female,45-54,Russian,Married,Middle,Medium,1
2006,-4,Missing,RU: 1mln. and more,Female,45-54,Russian,Married,Middle,No answer,6
2006,-4,Missing,RU: 1mln. and more,Female,45-54,Russian,No answer,Higher,High,1
2006,-4,Missing,RU: 1mln. and more,Female,45-54,Russian,Separated,Higher,Don´t know,1
2006,-4,Missing,RU: 1mln. and more,Female,45-54,Russian,Single/Never married,Middle,Low,1
2006,-4,Missing,RU: 1mln. and more,Female,45-54,Russian,Widowed,Higher,Don´t know,1
2006,-4,Missing,RU: 1mln. and more,Female,45-54,Russian,Widowed,Higher,High,1
2006,-4,Missing,RU: 1mln. and more,Female,45-54,Russian,Widowed,Middle,Medium,2
2006,-4,Missing,RU: 1mln. and more,Female,55-64,Russian,Divorced,Higher,High,1
2006,-4,Missing,RU: 1mln. and more,Female,55-64,Russian,Divorced,Higher,Medium,2
2006,-4,Missing,RU: 1mln. and more,Female,55-64,Russian,Divorced,Middle,High,1
2006,-4,Missing,RU: 1mln. and more,Female,55-64,Russian,Living together as married,Higher,High,1
2006,-4,Missing,RU: 1mln. and more,Female,55-64,Russian,Married,Higher,Don´t know,1
2006,-4,Missing,RU: 1mln. and more,Female,55-64,Russian,Married,Higher,High,1
2006,-4,Missing,RU: 1mln. and more,Female,55-64,Russian,Married,Higher,Medium,3
2006,-4,Missing,RU: 1mln. and more,Female,55-64,Russian,Married,Higher,No answer,1
2006,-4,Missing,RU: 1mln. and more,Female,55-64,Russian,Married,Middle,High,2
2006,-4,Missing,RU: 1mln. and more,Female,55-64,Russian,Married,Middle,Low,2
2006,-4,Missing,RU: 1mln. and more,Female,55-64,Russian,Married,Middle,Medium,3
2006,-4,Missing,RU: 1mln. and more,Female,55-64,Russian,Married,Middle,No answer,2
2006,-4,Missing,RU: 1mln. and more,Female,55-64,Russian,Single/Never married,Middle,Low,1
2006,-4,Missing,RU: 1mln. and more,Female,55-64,Russian,Widowed,Higher,High,2
2006,-4,Missing,RU: 1mln. and more,Female,55-64,Russian,Widowed,Higher,Medium,1
2006,-4,Missing,RU: 1mln. and more,Female,55-64,Russian,Widowed,Higher,No answer,1
2006,-4,Missing,RU: 1mln. and more,Female,55-64,Russian,Widowed,Middle,Low,2
2006,-4,Missing,RU: 1mln. and more,Female,55-64,Russian,Widowed,Middle,Medium,2
2006,-4,Missing,RU: 1mln. and more,Female,55-64,Tatar,No answer,Lower,Medium,1
2006,-4,Missing,RU: 1mln. and more,Female,"65 and more years""",Russian,Divorced,Higher,Medium,1
2006,-4,Missing,RU: 1mln. and more,Female,"65 and more years""",Russian,Divorced,Middle,Don´t know,1
2006,-4,Missing,RU: 1mln. and more,Female,"65 and more years""",Russian,Divorced,Middle,Medium,1
2006,-4,Missing,RU: 1mln. and more,Female,"65 and more years""",Russian,Living together as married,Middle,High,1
2006,-4,Missing,RU: 1mln. and more,Female,"65 and more years""",Russian,Married,Higher,High,3
2006,-4,Missing,RU: 1mln. and more,Female,"65 and more years""",Russian,Married,Higher,No answer,1
2006,-4,Missing,RU: 1mln. and more,Female,"65 and more years""",Russian,Married,Lower,Medium,1
2006,-4,Missing,RU: 1mln. and more,Female,"65 and more years""",Russian,Married,Middle,Don´t know,1
2006,-4,Missing,RU: 1mln. and more,Female,"65 and more years""",Russian,Married,Middle,Low,1
2006,-4,Missing,RU: 1mln. and more,Female,"65 and more years""",Russian,Married,Middle,Medium,4
2006,-4,Missing,RU: 1mln. and more,Female,"65 and more years""",Russian,No answer,Higher,No answer,1
2006,-4,Missing,RU: 1mln. and more,Female,"65 and more years""",Russian,No answer,Middle,Medium,1
2006,-4,Missing,RU: 1mln. and more,Female,"65 and more years""",Russian,Single/Never married,Middle,Medium,1
2006,-4,Missing,RU: 1mln. and more,Female,"65 and more years""",Russian,Widowed,Higher,High,1
2006,-4,Missing,RU: 1mln. and more,Female,"65 and more years""",Russian,Widowed,Higher,Medium,3
2006,-4,Missing,RU: 1mln. and more,Female,"65 and more years""",Russian,Widowed,Middle,Low,6
2006,-4,Missing,RU: 1mln. and more,Female,"65 and more years""",Russian,Widowed,Middle,Medium,3
2006,-4,Missing,RU: 1mln. and more,Female,"65 and more years""",Russian,Widowed,Middle,No answer,1
2006,-4,Missing,RU: 1mln. and more,Female,"65 and more years""",Russian,Widowed,Middle,Other missing,1
2006,-4,Missing,RU: 1mln. and more,Male,15-24,Don´t know,Single/Never married,Higher,High,1
2006,-4,Missing,RU: 1mln. and more,Male,15-24,Other Asian,Single/Never married,Middle,High,1
2006,-4,Missing,RU: 1mln. and more,Male,15-24,Other Caucassian,Single/Never married,Middle,High,1
2006,-4,Missing,RU: 1mln. and more,Male,15-24,Russian,Living together as married,Higher,High,1
2006,-4,Missing,RU: 1mln. and more,Male,15-24,Russian,Living together as married,Middle,Medium,1
2006,-4,Missing,RU: 1mln. and more,Male,15-24,Russian,Living together as married,Middle,No answer,1
2006,-4,Missing,RU: 1mln. and more,Male,15-24,Russian,Married,Middle,Don´t know,1
2006,-4,Missing,RU: 1mln. and more,Male,15-24,Russian,Married,Middle,High,1
2006,-4,Missing,RU: 1mln. and more,Male,15-24,Russian,Married,Middle,Medium,1
2006,-4,Missing,RU: 1mln. and more,Male,15-24,Russian,Single/Never married,Higher,Don´t know,5
2006,-4,Missing,RU: 1mln. and more,Male,15-24,Russian,Single/Never married,Higher,High,5
2006,-4,Missing,RU: 1mln. and more,Male,15-24,Russian,Single/Never married,Higher,Medium,3
2006,-4,Missing,RU: 1mln. and more,Male,15-24,Russian,Single/Never married,Higher,No answer,2
2006,-4,Missing,RU: 1mln. and more,Male,15-24,Russian,Single/Never married,Middle,Don´t know,12
2006,-4,Missing,RU: 1mln. and more,Male,15-24,Russian,Single/Never married,Middle,High,11
2006,-4,Missing,RU: 1mln. and more,Male,15-24,Russian,Single/Never married,Middle,Low,3
2006,-4,Missing,RU: 1mln. and more,Male,15-24,Russian,Single/Never married,Middle,Medium,5
2006,-4,Missing,RU: 1mln. and more,Male,15-24,Russian,Single/Never married,Middle,No answer,1
2006,-4,Missing,RU: 1mln. and more,Male,15-24,Tajik,Single/Never married,Middle,Don´t know,1
2006,-4,Missing,RU: 1mln. and more,Male,25-34,Armenian; Hayeren,Married,Higher,No answer,1
2006,-4,Missing,RU: 1mln. and more,Male,25-34,Armenian; Hayeren,Married,Middle,Medium,1
2006,-4,Missing,RU: 1mln. and more,Male,25-34,Russian,Divorced,Higher,High,1
2006,-4,Missing,RU: 1mln. and more,Male,25-34,Russian,Divorced,Higher,No answer,1
2006,-4,Missing,RU: 1mln. and more,Male,25-34,Russian,Divorced,Middle,Medium,1
2006,-4,Missing,RU: 1mln. and more,Male,25-34,Russian,Living together as married,Higher,High,2
2006,-4,Missing,RU: 1mln. and more,Male,25-34,Russian,Living together as married,Higher,No answer,1
2006,-4,Missing,RU: 1mln. and more,Male,25-34,Russian,Living together as married,Middle,Don´t know,1
2006,-4,Missing,RU: 1mln. and more,Male,25-34,Russian,Living together as married,Middle,High,3
2006,-4,Missing,RU: 1mln. and more,Male,25-34,Russian,Married,Higher,High,7
2006,-4,Missing,RU: 1mln. and more,Male,25-34,Russian,Married,Higher,Medium,2
2006,-4,Missing,RU: 1mln. and more,Male,25-34,Russian,Married,Middle,Don´t know,2
2006,-4,Missing,RU: 1mln. and more,Male,25-34,Russian,Married,Middle,High,11
2006,-4,Missing,RU: 1mln. and more,Male,25-34,Russian,Married,Middle,Medium,1
2006,-4,Missing,RU: 1mln. and more,Male,25-34,Russian,Married,Middle,No answer,1
2006,-4,Missing,RU: 1mln. and more,Male,25-34,Russian,Single/Never married,Higher,High,1
2006,-4,Missing,RU: 1mln. and more,Male,25-34,Russian,Single/Never married,Middle,Don´t know,1
2006,-4,Missing,RU: 1mln. and more,Male,25-34,Russian,Single/Never married,Middle,High,2
