A_YEAR: Year of survey,B_COUNTRY: ISO 3166-1 numeric country code,N_REGION_ISO: Region ISO 3166-2,H_URBRURAL: Urban-Rural,Q260: Sex,X003R: Age recoded (6 intervals),Q272: Language at home,Q273: Marital status,Q275R: Highest educational level: Respondent (recoded into 3 groups),Q287: Social class (subjective),Counts
২০২৩,ভারত,আইএন-পিবি পাঞ্জাব,শহুরে,মহিলা,১৬-২৪,"পাঞ্জাবি, পাঞ্জাবি",একক,উচ্চতর,উচ্চ মধ্যবিত্ত শ্রেণী,৪
২০২৩,ভারত,আইএন-পিবি পাঞ্জাব,শহুরে,মহিলা,১৬-২৪,"পাঞ্জাবি, পাঞ্জাবি",একক,মাঝখানে,নিম্ন মধ্যবিত্ত শ্রেণী,৫
২০২৩,ভারত,আইএন-পিবি পাঞ্জাব,শহুরে,পুরুষ,১৬-২৪,"পাঞ্জাবি, পাঞ্জাবি",একক,মাঝখানে,নিম্ন মধ্যবিত্ত শ্রেণী,৫
২০২৩,ভারত,আইএন-পিবি পাঞ্জাব,শহুরে,পুরুষ,৩৫-৪৪,"পাঞ্জাবি, পাঞ্জাবি",বিবাহিত,মাঝখানে,নিম্ন মধ্যবিত্ত শ্রেণী,৫
২০২৩,ভারত,আইএন-টিজি তেলেঙ্গানা,গ্রামীণ,মহিলা,১৬-২৪,তেলেগু,একক,মাঝখানে,নিম্ন মধ্যবিত্ত শ্রেণী,৮
২০২৩,ভারত,আইএন-টিজি তেলেঙ্গানা,গ্রামীণ,মহিলা,১৬-২৪,তেলেগু,একক,মাঝখানে,উচ্চ মধ্যবিত্ত শ্রেণী,৪
২০২৩,ভারত,আইএন-টিজি তেলেঙ্গানা,গ্রামীণ,পুরুষ,১৬-২৪,তেলেগু,একক,উচ্চতর,নিম্ন মধ্যবিত্ত শ্রেণী,৪
২০২৩,ভারত,আইএন-টিজি তেলেঙ্গানা,গ্রামীণ,পুরুষ,১৬-২৪,তেলেগু,একক,মাঝখানে,নিম্ন মধ্যবিত্ত শ্রেণী,৭
২০২৩,ভারত,আইএন-টিজি তেলেঙ্গানা,গ্রামীণ,পুরুষ,১৬-২৪,তেলেগু,একক,মাঝখানে,শ্রমিক শ্রেণী,৫
২০২৩,ভারত,আইএন-টিজি তেলেঙ্গানা,গ্রামীণ,পুরুষ,২৫-৩৪,তেলেগু,বিবাহিত,উচ্চতর,নিম্ন মধ্যবিত্ত শ্রেণী,৪
২০২৩,ভারত,আইএন-টিজি তেলেঙ্গানা,গ্রামীণ,পুরুষ,২৫-৩৪,তেলেগু,বিবাহিত,মাঝখানে,নিম্ন মধ্যবিত্ত শ্রেণী,৪
২০২৩,ভারত,আইএন-টিজি তেলেঙ্গানা,গ্রামীণ,পুরুষ,৩৫-৪৪,তেলেগু,বিবাহিত,নিম্ন,নিম্ন মধ্যবিত্ত শ্রেণী,৪
২০২৩,ভারত,উত্তরপ্রদেশ,গ্রামীণ,মহিলা,১৬-২৪,না,একক,মাঝখানে,শ্রমিক শ্রেণী,৪
২০২৩,ভারত,উত্তরপ্রদেশ,গ্রামীণ,মহিলা,৩৫-৪৪,না,বিবাহিত,নিম্ন,শ্রমিক শ্রেণী,৭
২০২৩,ভারত,উত্তরপ্রদেশ,গ্রামীণ,মহিলা,৪৫-৫৪,না,বিবাহিত,নিম্ন,শ্রমিক শ্রেণী,৫
২০২৩,ভারত,উত্তরপ্রদেশ,গ্রামীণ,পুরুষ,১৬-২৪,না,একক,উচ্চতর,শ্রমিক শ্রেণী,৫
২০২৩,ভারত,উত্তরপ্রদেশ,গ্রামীণ,পুরুষ,১৬-২৪,না,একক,নিম্ন,শ্রমিক শ্রেণী,১০
২০২৩,ভারত,উত্তরপ্রদেশ,গ্রামীণ,পুরুষ,১৬-২৪,না,একক,মাঝখানে,নিম্ন মধ্যবিত্ত শ্রেণী,৪
২০২৩,ভারত,উত্তরপ্রদেশ,গ্রামীণ,পুরুষ,১৬-২৪,না,একক,মাঝখানে,শ্রমিক শ্রেণী,১১
২০২৩,ভারত,উত্তরপ্রদেশ,গ্রামীণ,পুরুষ,২৫-৩৪,না,বিবাহিত,মাঝখানে,নিম্ন মধ্যবিত্ত শ্রেণী,৫
২০২৩,ভারত,উত্তরপ্রদেশ,গ্রামীণ,পুরুষ,২৫-৩৪,না,বিবাহিত,মাঝখানে,শ্রমিক শ্রেণী,৫
২০২৩,ভারত,উত্তরপ্রদেশ,গ্রামীণ,পুরুষ,৩৫-৪৪,না,বিবাহিত,নিম্ন,শ্রমিক শ্রেণী,৭
২০২৩,ভারত,উত্তরপ্রদেশ,গ্রামীণ,পুরুষ,৩৫-৪৪,না,বিবাহিত,মাঝখানে,নিম্ন মধ্যবিত্ত শ্রেণী,৪
২০২৩,ভারত,উত্তরপ্রদেশ,গ্রামীণ,পুরুষ,৪৫-৫৪,না,বিবাহিত,মাঝখানে,নিম্ন মধ্যবিত্ত শ্রেণী,৪
২০২৩,ভারত,উত্তরপ্রদেশ,গ্রামীণ,পুরুষ,৪৫-৫৪,না,বিবাহিত,মাঝখানে,উচ্চ মধ্যবিত্ত শ্রেণী,৪
২০২৩,ভারত,উত্তরপ্রদেশ,গ্রামীণ,পুরুষ,৪৫-৫৪,না,বিবাহিত,মাঝখানে,শ্রমিক শ্রেণী,৫
২০২৩,ভারত,উত্তরপ্রদেশ,গ্রামীণ,পুরুষ,৫৫-৬৪,না,বিবাহিত,নিম্ন,শ্রমিক শ্রেণী,৪
২০২৩,ভারত,উত্তরপ্রদেশ,শহুরে,মহিলা,১৬-২৪,না,একক,মাঝখানে,নিম্ন মধ্যবিত্ত শ্রেণী,৪
২০২৩,ভারত,উত্তরপ্রদেশ,শহুরে,পুরুষ,১৬-২৪,না,একক,উচ্চতর,নিম্ন মধ্যবিত্ত শ্রেণী,৪
২০২৩,ভারত,উত্তরপ্রদেশ,শহুরে,পুরুষ,১৬-২৪,না,একক,নিম্ন,নিম্ন শ্রেণীর,৪
২০২৩,ভারত,উত্তরপ্রদেশ,শহুরে,পুরুষ,১৬-২৪,না,একক,মাঝখানে,নিম্ন শ্রেণীর,৫
২০২৩,ভারত,উত্তরপ্রদেশ,শহুরে,পুরুষ,১৬-২৪,না,একক,মাঝখানে,নিম্ন মধ্যবিত্ত শ্রেণী,৫
২০২৩,ভারত,উত্তরপ্রদেশ,শহুরে,পুরুষ,১৬-২৪,না,একক,মাঝখানে,শ্রমিক শ্রেণী,৮
২০২৩,ভারত,উত্তরপ্রদেশ,শহুরে,পুরুষ,৩৫-৪৪,না,বিবাহিত,মাঝখানে,নিম্ন মধ্যবিত্ত শ্রেণী,৪
২০২৩,ভারত,উত্তরপ্রদেশ,শহুরে,পুরুষ,৩৫-৪৪,না,বিবাহিত,মাঝখানে,শ্রমিক শ্রেণী,৪
২০২৩,ভারত,উত্তরপ্রদেশ,শহুরে,পুরুষ,৪৫-৫৪,না,বিবাহিত,মাঝখানে,নিম্ন মধ্যবিত্ত শ্রেণী,৫
২০২৩,ভারত,পশ্চিমবঙ্গ,গ্রামীণ,মহিলা,১৬-২৪,বাংলা; বাংলা,একক,মাঝখানে,নিম্ন মধ্যবিত্ত শ্রেণী,৪
২০২৩,ভারত,পশ্চিমবঙ্গ,গ্রামীণ,পুরুষ,১৬-২৪,বাংলা; বাংলা,একক,মাঝখানে,নিম্ন মধ্যবিত্ত শ্রেণী,৭
২০২৩,ভারত,পশ্চিমবঙ্গ,গ্রামীণ,পুরুষ,১৬-২৪,অন্যান্য,একক,মাঝখানে,নিম্ন মধ্যবিত্ত শ্রেণী,১০
২০২৩,ভারত,পশ্চিমবঙ্গ,গ্রামীণ,পুরুষ,৪৫-৫৪,বাংলা; বাংলা,বিবাহিত,মাঝখানে,নিম্ন মধ্যবিত্ত শ্রেণী,৪
