V262: Year survey,B_COUNTRY_ALPHA: Country code ISO 3166 alpha,V256: Region where the interview was conducted,V253_CS: Size of town (country specific),V240: Sex,V242: Age,V247: Language at home,V57: Marital status,V248R: Highest educational level: Respondent (recoded into 3 groups),V238: Social class (subjective),Counts
2010,-4,JP: Chugoku region,JP:18 major large cities,Male,36,Japanese,Single,Middle,Working class,1
2010,-4,JP: Chugoku region,JP:18 major large cities,Male,55,Japanese,Living together as married,Higher,Working class,1
2010,-4,JP: Chugoku region,JP:18 major large cities,Male,70,Japanese,Widowed,Middle,Working class,1
2010,-4,JP: Chugoku region,JP:18 major large cities,Male,73,Japanese,Married,Higher,Lower class,1
2010,-4,JP: Chugoku region,JP:18 major large cities,Male,73,Japanese,Married,Middle,Upper middle class,1
2010,-4,JP: Chugoku region,JP:18 major large cities,Male,76,Japanese,Married,Middle,Lower middle class,1
2010,-4,JP: Chugoku region,JP:18 major large cities,Male,76,Japanese,Widowed,Middle,Lower middle class,1
2010,-4,JP: Chugoku region,"JP:Cities with populations from 100,000 to under 200,000",Female,25,Japanese,Single,Middle,Lower middle class,1
2010,-4,JP: Chugoku region,"JP:Cities with populations from 100,000 to under 200,000",Female,30,Japanese,Married,Don´t know,Don´t know,1
2010,-4,JP: Chugoku region,"JP:Cities with populations from 100,000 to under 200,000",Female,36,Japanese,Married,Higher,Lower middle class,1
2010,-4,JP: Chugoku region,"JP:Cities with populations from 100,000 to under 200,000",Female,37,Japanese,Divorced,Middle,Lower class,1
2010,-4,JP: Chugoku region,"JP:Cities with populations from 100,000 to under 200,000",Female,40,Japanese,Divorced,Middle,Lower class,1
2010,-4,JP: Chugoku region,"JP:Cities with populations from 100,000 to under 200,000",Female,46,Japanese,Single,Middle,Lower middle class,1
2010,-4,JP: Chugoku region,"JP:Cities with populations from 100,000 to under 200,000",Female,49,Japanese,Married,Middle,Lower middle class,1
2010,-4,JP: Chugoku region,"JP:Cities with populations from 100,000 to under 200,000",Female,51,Japanese,Married,Middle,Lower middle class,1
2010,-4,JP: Chugoku region,"JP:Cities with populations from 100,000 to under 200,000",Female,53,Japanese,Married,Middle,Lower middle class,1
2010,-4,JP: Chugoku region,"JP:Cities with populations from 100,000 to under 200,000",Female,56,Japanese,Married,Middle,Lower middle class,2
2010,-4,JP: Chugoku region,"JP:Cities with populations from 100,000 to under 200,000",Female,56,Japanese,Married,Middle,Upper middle class,1
2010,-4,JP: Chugoku region,"JP:Cities with populations from 100,000 to under 200,000",Female,58,Japanese,Married,Middle,Lower middle class,1
2010,-4,JP: Chugoku region,"JP:Cities with populations from 100,000 to under 200,000",Female,63,Japanese,Widowed,Middle,Lower class,1
2010,-4,JP: Chugoku region,"JP:Cities with populations from 100,000 to under 200,000",Female,67,Japanese,Married,Middle,Working class,1
2010,-4,JP: Chugoku region,"JP:Cities with populations from 100,000 to under 200,000",Female,71,Japanese,Married,Middle,Lower class,1
2010,-4,JP: Chugoku region,"JP:Cities with populations from 100,000 to under 200,000",Female,73,Japanese,Widowed,Middle,Lower middle class,1
2010,-4,JP: Chugoku region,"JP:Cities with populations from 100,000 to under 200,000",Female,75,Japanese,Married,Middle,Working class,1
2010,-4,JP: Chugoku region,"JP:Cities with populations from 100,000 to under 200,000",Male,18,Japanese,Single,Higher,Don´t know,1
2010,-4,JP: Chugoku region,"JP:Cities with populations from 100,000 to under 200,000",Male,24,Japanese,Single,Middle,Lower middle class,1
2010,-4,JP: Chugoku region,"JP:Cities with populations from 100,000 to under 200,000",Male,33,Japanese,Married,Higher,Working class,1
2010,-4,JP: Chugoku region,"JP:Cities with populations from 100,000 to under 200,000",Male,36,Japanese,Single,Middle,Lower class,1
2010,-4,JP: Chugoku region,"JP:Cities with populations from 100,000 to under 200,000",Male,45,Japanese,Divorced,Lower,Working class,1
2010,-4,JP: Chugoku region,"JP:Cities with populations from 100,000 to under 200,000",Male,46,Japanese,Married,Middle,Lower middle class,1
2010,-4,JP: Chugoku region,"JP:Cities with populations from 100,000 to under 200,000",Male,47,Japanese,Married,Middle,Lower class,1
2010,-4,JP: Chugoku region,"JP:Cities with populations from 100,000 to under 200,000",Male,49,Japanese,Married,Middle,Working class,1
2010,-4,JP: Chugoku region,"JP:Cities with populations from 100,000 to under 200,000",Male,61,Japanese,Married,Middle,Lower middle class,1
2010,-4,JP: Chugoku region,"JP:Cities with populations from 100,000 to under 200,000",Male,67,Japanese,Divorced,Lower,Working class,1
2010,-4,JP: Chugoku region,"JP:Cities with populations from 100,000 to under 200,000",Male,67,Japanese,Married,Middle,Upper middle class,1
2010,-4,JP: Chugoku region,"JP:Cities with populations from 100,000 to under 200,000",Male,69,Japanese,Married,Lower,Don´t know,1
2010,-4,JP: Chugoku region,"JP:Cities with populations from 100,000 to under 200,000",Male,69,Japanese,Married,Middle,Working class,1
2010,-4,JP: Chugoku region,"JP:Cities with populations from 100,000 to under 200,000",Male,73,Japanese,Married,Lower,Lower middle class,1
2010,-4,JP: Chugoku region,"JP:Cities with populations from 100,000 to under 200,000",Male,73,Japanese,Married,Middle,Lower class,1
2010,-4,JP: Chugoku region,"JP:Cities with populations from 100,000 to under 200,000",Male,76,Japanese,Married,Lower,Lower middle class,1
2010,-4,JP: Chugoku region,"JP:Cities with populations less than 100,000",Female,18,Japanese,Single,Middle,Lower middle class,1
2010,-4,JP: Chugoku region,"JP:Cities with populations less than 100,000",Female,31,Japanese,Single,Middle,Lower middle class,1
2010,-4,JP: Chugoku region,"JP:Cities with populations less than 100,000",Female,39,Japanese,Married,Middle,Lower middle class,1
2010,-4,JP: Chugoku region,"JP:Cities with populations less than 100,000",Female,43,Japanese,Married,Middle,Lower middle class,1
2010,-4,JP: Chugoku region,"JP:Cities with populations less than 100,000",Female,45,Japanese,Married,Middle,Working class,1
2010,-4,JP: Chugoku region,"JP:Cities with populations less than 100,000",Female,49,Japanese,Married,Middle,Lower class,1
2010,-4,JP: Chugoku region,"JP:Cities with populations less than 100,000",Female,52,Japanese,Married,Middle,Working class,1
2010,-4,JP: Chugoku region,"JP:Cities with populations less than 100,000",Female,54,Japanese,Married,Middle,Working class,1
2010,-4,JP: Chugoku region,"JP:Cities with populations less than 100,000",Female,57,Japanese,Married,Middle,Don´t know,1
2010,-4,JP: Chugoku region,"JP:Cities with populations less than 100,000",Female,59,Japanese,Married,Middle,Lower middle class,1
2010,-4,JP: Chugoku region,"JP:Cities with populations less than 100,000",Female,61,Japanese,Married,Middle,Don´t know,1
2010,-4,JP: Chugoku region,"JP:Cities with populations less than 100,000",Female,64,Japanese,Widowed,Higher,Lower middle class,1
2010,-4,JP: Chugoku region,"JP:Cities with populations less than 100,000",Female,65,Japanese,Married,Lower,Working class,1
2010,-4,JP: Chugoku region,"JP:Cities with populations less than 100,000",Female,69,Japanese,Married,Middle,Lower middle class,1
2010,-4,JP: Chugoku region,"JP:Cities with populations less than 100,000",Female,73,Japanese,Married,Lower,Working class,1
2010,-4,JP: Chugoku region,"JP:Cities with populations less than 100,000",Female,73,Japanese,Married,Middle,Lower class,1
2010,-4,JP: Chugoku region,"JP:Cities with populations less than 100,000",Female,73,Japanese,Married,Middle,Lower middle class,1
2010,-4,JP: Chugoku region,"JP:Cities with populations less than 100,000",Female,76,Japanese,Married,Middle,Lower class,1
2010,-4,JP: Chugoku region,"JP:Cities with populations less than 100,000",Male,26,Japanese,Single,Middle,Lower middle class,1
2010,-4,JP: Chugoku region,"JP:Cities with populations less than 100,000",Male,29,Japanese,Living together as married,Lower,Working class,1
2010,-4,JP: Chugoku region,"JP:Cities with populations less than 100,000",Male,31,Japanese,Married,Higher,Working class,1
2010,-4,JP: Chugoku region,"JP:Cities with populations less than 100,000",Male,34,Japanese,Single,Higher,Lower middle class,1
2010,-4,JP: Chugoku region,"JP:Cities with populations less than 100,000",Male,35,Japanese,Single,Higher,Lower middle class,1
2010,-4,JP: Chugoku region,"JP:Cities with populations less than 100,000",Male,45,Japanese,Married,Middle,Lower middle class,1
2010,-4,JP: Chugoku region,"JP:Cities with populations less than 100,000",Male,47,Japanese,Single,Middle,Lower middle class,1
2010,-4,JP: Chugoku region,"JP:Cities with populations less than 100,000",Male,59,Japanese,Single,Middle,Working class,1
2010,-4,JP: Chugoku region,"JP:Cities with populations less than 100,000",Male,61,Japanese,Married,Higher,Upper middle class,1
2010,-4,JP: Chugoku region,"JP:Cities with populations less than 100,000",Male,62,Japanese,Married,Higher,Working class,1
2010,-4,JP: Chugoku region,"JP:Cities with populations less than 100,000",Male,63,Japanese,Divorced,Middle,Lower middle class,1
2010,-4,JP: Chugoku region,"JP:Cities with populations less than 100,000",Male,63,Japanese,Married,Higher,Upper class,1
2010,-4,JP: Chugoku region,"JP:Cities with populations less than 100,000",Male,66,Japanese,Married,Middle,Working class,1
2010,-4,JP: Chugoku region,"JP:Cities with populations less than 100,000",Male,68,Japanese,Married,Middle,Lower middle class,1
2010,-4,JP: Chugoku region,"JP:Cities with populations less than 100,000",Male,69,Japanese,Married,Middle,Working class,1
2010,-4,JP: Chugoku region,"JP:Cities with populations less than 100,000",Male,74,Japanese,Married,Middle,Working class,1
2010,-4,JP: Chugoku region,"JP:Cities with populations less than 100,000",Male,76,Japanese,Married,Lower,Don´t know,1
2010,-4,JP: Chugoku region,"JP:Cities with populations less than 100,000",Male,76,Japanese,Married,Lower,Lower middle class,1
2010,-4,JP: Chugoku region,"JP:Cities with populations of 200,000 or more",Female,20,Japanese,Single,Higher,Lower middle class,1
2010,-4,JP: Chugoku region,"JP:Cities with populations of 200,000 or more",Female,24,Japanese,Married,Middle,Working class,1
2010,-4,JP: Chugoku region,"JP:Cities with populations of 200,000 or more",Female,26,Japanese,Single,Higher,Working class,1
2010,-4,JP: Chugoku region,"JP:Cities with populations of 200,000 or more",Female,32,Japanese,Married,Lower,Working class,1
2010,-4,JP: Chugoku region,"JP:Cities with populations of 200,000 or more",Female,35,Japanese,Married,Middle,Upper middle class,1
2010,-4,JP: Chugoku region,"JP:Cities with populations of 200,000 or more",Female,35,Japanese,Married,Middle,Working class,1
2010,-4,JP: Chugoku region,"JP:Cities with populations of 200,000 or more",Female,37,Japanese,Married,Middle,Lower middle class,1
2010,-4,JP: Chugoku region,"JP:Cities with populations of 200,000 or more",Female,45,Japanese,Widowed,Higher,Upper middle class,1
2010,-4,JP: Chugoku region,"JP:Cities with populations of 200,000 or more",Female,46,Japanese,Married,Middle,Lower class,1
2010,-4,JP: Chugoku region,"JP:Cities with populations of 200,000 or more",Female,51,Japanese,Divorced,Middle,Lower middle class,1
2010,-4,JP: Chugoku region,"JP:Cities with populations of 200,000 or more",Female,60,Japanese,Married,Middle,Working class,1
2010,-4,JP: Chugoku region,"JP:Cities with populations of 200,000 or more",Female,62,Japanese,Married,Middle,Lower middle class,1
2010,-4,JP: Chugoku region,"JP:Cities with populations of 200,000 or more",Female,66,Japanese,Married,Middle,Working class,1
2010,-4,JP: Chugoku region,"JP:Cities with populations of 200,000 or more",Female,67,Japanese,Married,Lower,Working class,1
2010,-4,JP: Chugoku region,"JP:Cities with populations of 200,000 or more",Female,71,Japanese,Married,Middle,Lower middle class,1
2010,-4,JP: Chugoku region,"JP:Cities with populations of 200,000 or more",Female,72,Japanese,Married,Middle,Lower middle class,1
2010,-4,JP: Chugoku region,"JP:Cities with populations of 200,000 or more",Female,75,Japanese,Married,Middle,Working class,1
2010,-4,JP: Chugoku region,"JP:Cities with populations of 200,000 or more",Female,77,Japanese,Widowed,Lower,Lower class,1
2010,-4,JP: Chugoku region,"JP:Cities with populations of 200,000 or more",Male,18,Japanese,Single,Middle,Lower middle class,1
2010,-4,JP: Chugoku region,"JP:Cities with populations of 200,000 or more",Male,20,Japanese,Single,Middle,Lower middle class,1
2010,-4,JP: Chugoku region,"JP:Cities with populations of 200,000 or more",Male,23,Japanese,Single,Higher,Working class,1
2010,-4,JP: Chugoku region,"JP:Cities with populations of 200,000 or more",Male,24,Japanese,Single,Don´t know,Working class,1
2010,-4,JP: Chugoku region,"JP:Cities with populations of 200,000 or more",Male,26,Japanese,Single,Middle,Working class,1
2010,-4,JP: Chugoku region,"JP:Cities with populations of 200,000 or more",Male,32,Japanese,Married,Middle,Working class,1
2010,-4,JP: Chugoku region,"JP:Cities with populations of 200,000 or more",Male,39,Japanese,Married,Higher,Lower middle class,1
2010,-4,JP: Chugoku region,"JP:Cities with populations of 200,000 or more",Male,39,Japanese,Married,Higher,Working class,1
2010,-4,JP: Chugoku region,"JP:Cities with populations of 200,000 or more",Male,39,Japanese,Separated,Middle,Lower middle class,1
2010,-4,JP: Chugoku region,"JP:Cities with populations of 200,000 or more",Male,45,Japanese,Married,Middle,Lower middle class,1
2010,-4,JP: Chugoku region,"JP:Cities with populations of 200,000 or more",Male,46,Japanese,Married,Middle,Upper middle class,1
2010,-4,JP: Chugoku region,"JP:Cities with populations of 200,000 or more",Male,52,Japanese,Single,Middle,Lower middle class,1
2010,-4,JP: Chugoku region,"JP:Cities with populations of 200,000 or more",Male,62,Japanese,Married,Middle,Lower middle class,1
2010,-4,JP: Chugoku region,"JP:Cities with populations of 200,000 or more",Male,63,Japanese,Married,Middle,Lower middle class,1
2010,-4,JP: Chugoku region,"JP:Cities with populations of 200,000 or more",Male,66,Japanese,Married,Middle,Lower middle class,1
2010,-4,JP: Chugoku region,"JP:Cities with populations of 200,000 or more",Male,69,Japanese,Married,Middle,Lower middle class,1
2010,-4,JP: Chugoku region,"JP:Cities with populations of 200,000 or more",Male,70,Japanese,Married,Lower,Working class,1
2010,-4,JP: Chugoku region,"JP:Cities with populations of 200,000 or more",Male,70,Japanese,Married,Middle,Working class,1
2010,-4,JP: Chugoku region,"JP:Cities with populations of 200,000 or more",Male,71,Japanese,Married,Lower,Working class,1
2010,-4,JP: Chugoku region,"JP:Cities with populations of 200,000 or more",Male,71,Japanese,Married,Middle,Lower middle class,1
2010,-4,JP: Chugoku region,"JP:Cities with populations of 200,000 or more",Male,74,Japanese,Married,Middle,Lower middle class,1
2010,-4,JP: Chugoku region,"JP:Cities with populations of 200,000 or more",Male,75,Japanese,Living together as married,Middle,Lower middle class,1
2010,-4,JP: Chugoku region,"JP:Cities with populations of 200,000 or more",Male,78,Japanese,Married,Don´t know,Lower middle class,1
2010,-4,JP: Chugoku region,"JP:Cities with populations of 200,000 or more",Male,78,Japanese,Married,Middle,Working class,2
2010,-4,JP: Hokkaido region,JP: Rural districts,Female,26,Japanese,Single,Middle,Lower class,1
2010,-4,JP: Hokkaido region,JP: Rural districts,Female,31,Japanese,Single,Middle,Working class,1
2010,-4,JP: Hokkaido region,JP: Rural districts,Female,42,Japanese,Married,Middle,Lower middle class,1
2010,-4,JP: Hokkaido region,JP: Rural districts,Female,51,Japanese,Married,Lower,Working class,1
2010,-4,JP: Hokkaido region,JP: Rural districts,Female,55,Japanese,Married,Middle,Don´t know,1
2010,-4,JP: Hokkaido region,JP: Rural districts,Female,67,Japanese,Married,Middle,Lower middle class,1
2010,-4,JP: Hokkaido region,JP: Rural districts,Female,72,Japanese,Married,Middle,Lower middle class,1
2010,-4,JP: Hokkaido region,JP: Rural districts,Female,79,Japanese,Married,Lower,Lower middle class,1
2010,-4,JP: Hokkaido region,JP: Rural districts,Male,25,Japanese,Married,Lower,Working class,1
2010,-4,JP: Hokkaido region,JP: Rural districts,Male,28,Japanese,Single,Higher,Working class,1
2010,-4,JP: Hokkaido region,JP: Rural districts,Male,30,Japanese,Married,Middle,Don´t know,1
2010,-4,JP: Hokkaido region,JP: Rural districts,Male,30,Japanese,Married,Middle,Upper middle class,1
2010,-4,JP: Hokkaido region,JP: Rural districts,Male,32,Japanese,Married,Higher,Upper middle class,1
2010,-4,JP: Hokkaido region,JP: Rural districts,Male,35,Japanese,Married,Middle,Working class,1
2010,-4,JP: Hokkaido region,JP: Rural districts,Male,38,Japanese,Single,Middle,Working class,1
2010,-4,JP: Hokkaido region,JP: Rural districts,Male,51,Japanese,Divorced,Lower,Working class,1
2010,-4,JP: Hokkaido region,JP: Rural districts,Male,52,Japanese,Married,Middle,Working class,1
2010,-4,JP: Hokkaido region,JP: Rural districts,Male,56,Japanese,Married,Higher,Working class,1
2010,-4,JP: Hokkaido region,JP: Rural districts,Male,60,Japanese,Married,Middle,Don´t know,1
2010,-4,JP: Hokkaido region,JP: Rural districts,Male,68,Japanese,Widowed,Middle,Lower middle class,1
2010,-4,JP: Hokkaido region,JP: Rural districts,Male,69,Japanese,Married,Higher,Lower middle class,1
2010,-4,JP: Hokkaido region,JP:18 major large cities,Female,19,Japanese,Single,Middle,Upper middle class,1
2010,-4,JP: Hokkaido region,JP:18 major large cities,Female,27,Japanese,Single,Middle,Working class,1
2010,-4,JP: Hokkaido region,JP:18 major large cities,Female,30,Japanese,Single,Middle,Upper middle class,1
2010,-4,JP: Hokkaido region,JP:18 major large cities,Female,32,Japanese,Married,Middle,Upper middle class,1
2010,-4,JP: Hokkaido region,JP:18 major large cities,Female,38,Japanese,Single,Higher,Lower class,1
2010,-4,JP: Hokkaido region,JP:18 major large cities,Female,38,Japanese,Single,Middle,Lower class,1
2010,-4,JP: Hokkaido region,JP:18 major large cities,Female,44,Japanese,Single,Middle,Working class,1
2010,-4,JP: Hokkaido region,JP:18 major large cities,Female,46,Japanese,Divorced,Middle,Lower middle class,1
2010,-4,JP: Hokkaido region,JP:18 major large cities,Female,46,Japanese,Married,Middle,Lower class,1
2010,-4,JP: Hokkaido region,JP:18 major large cities,Female,48,Japanese,Divorced,Middle,Lower middle class,1
2010,-4,JP: Hokkaido region,JP:18 major large cities,Female,48,Japanese,Married,Middle,Working class,1
2010,-4,JP: Hokkaido region,JP:18 major large cities,Female,53,Japanese,Divorced,Middle,Upper middle class,1
2010,-4,JP: Hokkaido region,JP:18 major large cities,Female,54,Japanese,Married,Middle,Lower middle class,1
2010,-4,JP: Hokkaido region,JP:18 major large cities,Female,54,Japanese,Married,Middle,Working class,1
2010,-4,JP: Hokkaido region,JP:18 major large cities,Female,56,Japanese,Married,Middle,Lower middle class,1
2010,-4,JP: Hokkaido region,JP:18 major large cities,Female,58,Japanese,Married,Middle,Lower middle class,1
2010,-4,JP: Hokkaido region,JP:18 major large cities,Female,61,Japanese,Widowed,Middle,Lower class,1
2010,-4,JP: Hokkaido region,JP:18 major large cities,Female,66,Japanese,Married,Lower,Lower class,1
2010,-4,JP: Hokkaido region,JP:18 major large cities,Female,69,Japanese,Single,Middle,Lower middle class,1
2010,-4,JP: Hokkaido region,JP:18 major large cities,Female,73,Japanese,Married,Middle,Lower middle class,1
2010,-4,JP: Hokkaido region,JP:18 major large cities,Female,76,Japanese,Married,Middle,Upper middle class,1
2010,-4,JP: Hokkaido region,JP:18 major large cities,Female,79,Japanese,Married,Don´t know,Lower middle class,1
2010,-4,JP: Hokkaido region,JP:18 major large cities,Female,79,Japanese,Widowed,Lower,Lower class,1
2010,-4,JP: Hokkaido region,JP:18 major large cities,Male,22,Japanese,Single,Middle,Upper middle class,1
2010,-4,JP: Hokkaido region,JP:18 major large cities,Male,31,Japanese,Married,Higher,Working class,1
2010,-4,JP: Hokkaido region,JP:18 major large cities,Male,33,Japanese,Single,Higher,Lower class,1
2010,-4,JP: Hokkaido region,JP:18 major large cities,Male,36,Japanese,Married,Middle,Working class,1
2010,-4,JP: Hokkaido region,JP:18 major large cities,Male,37,Japanese,Married,Middle,Lower middle class,1
2010,-4,JP: Hokkaido region,JP:18 major large cities,Male,40,Japanese,Married,Middle,Lower middle class,1
2010,-4,JP: Hokkaido region,JP:18 major large cities,Male,49,Japanese,Married,Higher,Don´t know,1
2010,-4,JP: Hokkaido region,JP:18 major large cities,Male,50,Japanese,Married,Higher,Lower middle class,1
2010,-4,JP: Hokkaido region,JP:18 major large cities,Male,51,Japanese,Divorced,Higher,Working class,1
2010,-4,JP: Hokkaido region,JP:18 major large cities,Male,54,Japanese,Married,Higher,Lower middle class,1
2010,-4,JP: Hokkaido region,JP:18 major large cities,Male,55,Japanese,Married,Lower,Working class,1
2010,-4,JP: Hokkaido region,JP:18 major large cities,Male,57,Japanese,Married,Lower,Lower middle class,1
2010,-4,JP: Hokkaido region,JP:18 major large cities,Male,58,Japanese,Divorced,Lower,Working class,1
2010,-4,JP: Hokkaido region,JP:18 major large cities,Male,67,Japanese,Living together as married,Don´t know,Don´t know,1
2010,-4,JP: Hokkaido region,JP:18 major large cities,Male,70,Japanese,Married,Middle,Working class,1
2010,-4,JP: Hokkaido region,"JP:Cities with populations from 100,000 to under 200,000",Female,24,Japanese,Single,Higher,Lower middle class,1
2010,-4,JP: Hokkaido region,"JP:Cities with populations from 100,000 to under 200,000",Female,25,Japanese,Married,Middle,Lower middle class,1
2010,-4,JP: Hokkaido region,"JP:Cities with populations from 100,000 to under 200,000",Female,26,Japanese,Single,Middle,Upper middle class,1
2010,-4,JP: Hokkaido region,"JP:Cities with populations from 100,000 to under 200,000",Female,29,Japanese,Married,Higher,Lower middle class,1
2010,-4,JP: Hokkaido region,"JP:Cities with populations from 100,000 to under 200,000",Female,32,Japanese,Single,Middle,Working class,1
2010,-4,JP: Hokkaido region,"JP:Cities with populations from 100,000 to under 200,000",Female,37,Japanese,Married,Middle,Upper middle class,1
2010,-4,JP: Hokkaido region,"JP:Cities with populations from 100,000 to under 200,000",Female,38,Japanese,Single,Middle,Don´t know,1
2010,-4,JP: Hokkaido region,"JP:Cities with populations from 100,000 to under 200,000",Female,42,Japanese,Married,Middle,Lower middle class,1
2010,-4,JP: Hokkaido region,"JP:Cities with populations from 100,000 to under 200,000",Female,51,Japanese,Widowed,Middle,Lower middle class,1
2010,-4,JP: Hokkaido region,"JP:Cities with populations from 100,000 to under 200,000",Female,54,Japanese,Single,Middle,Lower middle class,1
2010,-4,JP: Hokkaido region,"JP:Cities with populations from 100,000 to under 200,000",Female,57,Japanese,Divorced,Middle,Working class,1
2010,-4,JP: Hokkaido region,"JP:Cities with populations from 100,000 to under 200,000",Female,59,Japanese,Widowed,Middle,Upper middle class,1
2010,-4,JP: Hokkaido region,"JP:Cities with populations from 100,000 to under 200,000",Male,19,Japanese,Single,Middle,Lower middle class,1
2010,-4,JP: Hokkaido region,"JP:Cities with populations from 100,000 to under 200,000",Male,34,Japanese,Married,Middle,Working class,1
2010,-4,JP: Hokkaido region,"JP:Cities with populations from 100,000 to under 200,000",Male,46,Japanese,Married,Middle,Working class,1
2010,-4,JP: Hokkaido region,"JP:Cities with populations from 100,000 to under 200,000",Male,60,Japanese,Married,Middle,Working class,1
2010,-4,JP: Hokkaido region,"JP:Cities with populations from 100,000 to under 200,000",Male,61,Japanese,Married,Middle,Working class,1
2010,-4,JP: Hokkaido region,"JP:Cities with populations less than 100,000",Female,36,Japanese,Married,Middle,Upper middle class,1
2010,-4,JP: Hokkaido region,"JP:Cities with populations less than 100,000",Female,47,Japanese,Married,Middle,Lower middle class,1
2010,-4,JP: Hokkaido region,"JP:Cities with populations less than 100,000",Female,51,Japanese,Married,Middle,Working class,1
2010,-4,JP: Hokkaido region,"JP:Cities with populations less than 100,000",Female,59,Japanese,Married,Middle,Lower middle class,1
2010,-4,JP: Hokkaido region,"JP:Cities with populations less than 100,000",Female,60,Japanese,Married,Middle,Lower class,1
2010,-4,JP: Hokkaido region,"JP:Cities with populations less than 100,000",Female,71,Japanese,Married,Lower,Lower middle class,1
2010,-4,JP: Hokkaido region,"JP:Cities with populations less than 100,000",Female,72,Japanese,Married,Lower,Lower middle class,1
2010,-4,JP: Hokkaido region,"JP:Cities with populations less than 100,000",Female,75,Japanese,Married,Lower,Working class,1
2010,-4,JP: Hokkaido region,"JP:Cities with populations less than 100,000",Female,78,Japanese,Widowed,Lower,Working class,1
2010,-4,JP: Hokkaido region,"JP:Cities with populations less than 100,000",Male,21,Japanese,Single,Higher,Working class,1
2010,-4,JP: Hokkaido region,"JP:Cities with populations less than 100,000",Male,23,Japanese,Single,Higher,Lower middle class,1
2010,-4,JP: Hokkaido region,"JP:Cities with populations less than 100,000",Male,23,Japanese,Single,Middle,Working class,1
2010,-4,JP: Hokkaido region,"JP:Cities with populations less than 100,000",Male,27,Japanese,Divorced,Middle,Upper class,1
