V262: Year survey,B_COUNTRY_ALPHA: Country code ISO 3166 alpha,N_REGION_ISO: Region (ISO),G_TOWNSIZE2: Settlement size_5 groups,V240: Sex,V242: Age,V247: Language at home,V57: Marital status,V248R: Highest educational level: Respondent (recoded into 3 groups),V238: Social class (subjective),Counts
2012,-4,IN-AP Andhra Pradesh,20000-100000,Female,45,Telugu,Married,Middle,Upper middle class,1
2012,-4,IN-AP Andhra Pradesh,20000-100000,Female,47,Telugu,Married,Lower,Lower class,1
2012,-4,IN-AP Andhra Pradesh,20000-100000,Female,50,Telugu,Married,Lower,Lower class,1
2012,-4,IN-AP Andhra Pradesh,20000-100000,Female,50,Telugu,Married,Lower,Lower middle class,1
2012,-4,IN-AP Andhra Pradesh,20000-100000,Female,50,Urdu,Married,Lower,Upper middle class,1
2012,-4,IN-AP Andhra Pradesh,20000-100000,Female,51,Marwari,Married,Lower,Upper class,1
2012,-4,IN-AP Andhra Pradesh,20000-100000,Female,67,Telugu,Married,Lower,Lower class,1
2012,-4,IN-AP Andhra Pradesh,20000-100000,Male,21,Telugu,Single,Higher,Lower middle class,1
2012,-4,IN-AP Andhra Pradesh,20000-100000,Male,22,Telugu,Single,Higher,Lower middle class,1
2012,-4,IN-AP Andhra Pradesh,20000-100000,Male,22,Telugu,Single,Lower,Working class,1
2012,-4,IN-AP Andhra Pradesh,20000-100000,Male,22,Telugu,Single,Middle,Lower middle class,1
2012,-4,IN-AP Andhra Pradesh,20000-100000,Male,24,Telugu,Single,Higher,Lower middle class,1
2012,-4,IN-AP Andhra Pradesh,20000-100000,Male,27,Telugu,Single,Higher,Lower middle class,1
2012,-4,IN-AP Andhra Pradesh,20000-100000,Male,28,Telugu,Single,Higher,Lower middle class,1
2012,-4,IN-AP Andhra Pradesh,20000-100000,Male,31,Telugu,Married,Higher,Lower middle class,1
2012,-4,IN-AP Andhra Pradesh,20000-100000,Male,31,Telugu,Married,Lower,Working class,1
2012,-4,IN-AP Andhra Pradesh,20000-100000,Male,34,Telugu,Married,Middle,Lower middle class,2
2012,-4,IN-AP Andhra Pradesh,20000-100000,Male,35,Telugu,Married,Middle,Working class,1
2012,-4,IN-AP Andhra Pradesh,20000-100000,Male,37,Telugu,Married,Middle,Lower class,1
2012,-4,IN-AP Andhra Pradesh,20000-100000,Male,37,Urdu,Married,Middle,Lower middle class,1
2012,-4,IN-AP Andhra Pradesh,20000-100000,Male,40,Telugu,Married,Lower,Working class,1
2012,-4,IN-AP Andhra Pradesh,20000-100000,Male,41,Telugu,Married,Middle,Lower middle class,1
2012,-4,IN-AP Andhra Pradesh,20000-100000,Male,42,Telugu,Married,Lower,Lower middle class,1
2012,-4,IN-AP Andhra Pradesh,20000-100000,Male,42,Telugu,Married,Lower,Upper middle class,1
2012,-4,IN-AP Andhra Pradesh,20000-100000,Male,50,Telugu,Married,Lower,Lower class,1
2012,-4,IN-AP Andhra Pradesh,20000-100000,Male,50,Telugu,Married,Middle,Lower class,1
2012,-4,IN-AP Andhra Pradesh,20000-100000,Male,50,Telugu,Married,Middle,Lower middle class,1
2012,-4,IN-AP Andhra Pradesh,20000-100000,Male,52,Telugu,Married,Higher,Lower middle class,1
2012,-4,IN-AP Andhra Pradesh,20000-100000,Male,52,Telugu,Married,Lower,Lower class,1
2012,-4,IN-AP Andhra Pradesh,20000-100000,Male,56,Urdu,Married,Lower,Lower middle class,1
2012,-4,IN-AP Andhra Pradesh,20000-100000,Male,57,Telugu,Married,Middle,Upper middle class,1
2012,-4,IN-AP Andhra Pradesh,5000-20000,Female,20,Telugu,Married,Middle,Lower class,1
2012,-4,IN-AP Andhra Pradesh,5000-20000,Female,22,Telugu,Married,Middle,Lower middle class,1
2012,-4,IN-AP Andhra Pradesh,5000-20000,Female,22,Telugu,Single,Middle,Working class,1
2012,-4,IN-AP Andhra Pradesh,5000-20000,Female,24,Telugu,Single,Higher,Upper middle class,1
2012,-4,IN-AP Andhra Pradesh,5000-20000,Female,24,Urdu,Married,Middle,Lower middle class,1
2012,-4,IN-AP Andhra Pradesh,5000-20000,Female,25,Telugu,Married,Lower,Lower class,1
2012,-4,IN-AP Andhra Pradesh,5000-20000,Female,25,Telugu,Single,Higher,Lower middle class,1
2012,-4,IN-AP Andhra Pradesh,5000-20000,Female,26,Telugu,Married,Higher,Upper middle class,1
2012,-4,IN-AP Andhra Pradesh,5000-20000,Female,26,Telugu,Single,Lower,Lower class,1
2012,-4,IN-AP Andhra Pradesh,5000-20000,Female,28,Telugu,Married,Higher,Lower middle class,1
2012,-4,IN-AP Andhra Pradesh,5000-20000,Female,30,Telugu,Married,Middle,Lower middle class,1
2012,-4,IN-AP Andhra Pradesh,5000-20000,Female,32,Telugu,Married,Higher,Upper middle class,1
2012,-4,IN-AP Andhra Pradesh,5000-20000,Female,32,Telugu,Married,Middle,Lower middle class,1
2012,-4,IN-AP Andhra Pradesh,5000-20000,Female,32,Urdu,Married,Lower,Upper middle class,1
2012,-4,IN-AP Andhra Pradesh,5000-20000,Female,33,Telugu,Married,Lower,Lower middle class,1
2012,-4,IN-AP Andhra Pradesh,5000-20000,Female,37,Urdu,Married,Lower,Lower middle class,1
2012,-4,IN-AP Andhra Pradesh,5000-20000,Female,40,Telugu,Married,Lower,Lower class,3
2012,-4,IN-AP Andhra Pradesh,5000-20000,Female,43,Telugu,Married,Higher,Upper class,1
2012,-4,IN-AP Andhra Pradesh,5000-20000,Female,43,Urdu,Married,Lower,Lower middle class,1
2012,-4,IN-AP Andhra Pradesh,5000-20000,Female,50,Telugu,Married,Lower,Lower middle class,1
2012,-4,IN-AP Andhra Pradesh,5000-20000,Female,52,Telugu,Married,Lower,Upper middle class,1
2012,-4,IN-AP Andhra Pradesh,5000-20000,Female,52,Telugu,Married,Lower,Working class,1
2012,-4,IN-AP Andhra Pradesh,5000-20000,Female,55,Telugu,Married,Lower,Lower middle class,1
2012,-4,IN-AP Andhra Pradesh,5000-20000,Female,60,Telugu,Married,Lower,Upper middle class,1
2012,-4,IN-AP Andhra Pradesh,5000-20000,Female,62,Telugu,Married,Lower,Lower middle class,1
2012,-4,IN-AP Andhra Pradesh,5000-20000,Female,62,Telugu,Married,Middle,Upper middle class,1
2012,-4,IN-AP Andhra Pradesh,5000-20000,Female,65,Telugu,Married,Lower,Upper middle class,1
2012,-4,IN-AP Andhra Pradesh,5000-20000,Male,22,Telugu,Married,Lower,Lower middle class,2
2012,-4,IN-AP Andhra Pradesh,5000-20000,Male,23,Telugu,Single,Higher,Upper middle class,1
2012,-4,IN-AP Andhra Pradesh,5000-20000,Male,24,Urdu,Married,Higher,Lower middle class,1
2012,-4,IN-AP Andhra Pradesh,5000-20000,Male,25,Telugu,Married,Lower,Working class,1
2012,-4,IN-AP Andhra Pradesh,5000-20000,Male,26,Telugu,Married,Middle,Lower middle class,1
2012,-4,IN-AP Andhra Pradesh,5000-20000,Male,27,Telugu,Married,Lower,Lower class,1
2012,-4,IN-AP Andhra Pradesh,5000-20000,Male,28,Telugu,Single,Higher,Upper middle class,1
2012,-4,IN-AP Andhra Pradesh,5000-20000,Male,28,Telugu,Single,Lower,Lower middle class,1
2012,-4,IN-AP Andhra Pradesh,5000-20000,Male,29,Telugu,Married,Middle,Lower middle class,1
2012,-4,IN-AP Andhra Pradesh,5000-20000,Male,30,Telugu,Married,Lower,Lower class,1
2012,-4,IN-AP Andhra Pradesh,5000-20000,Male,31,Telugu,Married,Lower,Lower class,1
2012,-4,IN-AP Andhra Pradesh,5000-20000,Male,32,Telugu,Married,Middle,Lower middle class,2
2012,-4,IN-AP Andhra Pradesh,5000-20000,Male,32,Urdu,Married,Lower,Lower middle class,1
2012,-4,IN-AP Andhra Pradesh,5000-20000,Male,32,Urdu,Married,Middle,Lower middle class,1
2012,-4,IN-AP Andhra Pradesh,5000-20000,Male,33,Telugu,Married,Lower,Lower class,1
2012,-4,IN-AP Andhra Pradesh,5000-20000,Male,33,Telugu,Married,Middle,Lower middle class,2
2012,-4,IN-AP Andhra Pradesh,5000-20000,Male,34,Telugu,Married,Higher,Lower middle class,1
2012,-4,IN-AP Andhra Pradesh,5000-20000,Male,34,Telugu,Married,Middle,Lower middle class,1
2012,-4,IN-AP Andhra Pradesh,5000-20000,Male,34,Urdu,Married,Lower,Lower middle class,1
2012,-4,IN-AP Andhra Pradesh,5000-20000,Male,35,Telugu,Married,Middle,Lower middle class,1
2012,-4,IN-AP Andhra Pradesh,5000-20000,Male,36,Telugu,Married,Higher,Don´t know,1
2012,-4,IN-AP Andhra Pradesh,5000-20000,Male,36,Telugu,Single,Lower,Lower middle class,1
2012,-4,IN-AP Andhra Pradesh,5000-20000,Male,37,Telugu,Married,Middle,Lower middle class,1
2012,-4,IN-AP Andhra Pradesh,5000-20000,Male,39,Telugu,Married,Lower,Lower class,1
2012,-4,IN-AP Andhra Pradesh,5000-20000,Male,40,Telugu,Married,Lower,Lower class,1
2012,-4,IN-AP Andhra Pradesh,5000-20000,Male,40,Urdu,Married,Lower,Lower middle class,1
2012,-4,IN-AP Andhra Pradesh,5000-20000,Male,42,Telugu,Married,Higher,Upper middle class,1
2012,-4,IN-AP Andhra Pradesh,5000-20000,Male,42,Telugu,Married,Lower,Lower class,1
2012,-4,IN-AP Andhra Pradesh,5000-20000,Male,43,Telugu,Married,Higher,Upper middle class,1
2012,-4,IN-AP Andhra Pradesh,5000-20000,Male,43,Urdu,Married,Middle,Upper middle class,1
2012,-4,IN-AP Andhra Pradesh,5000-20000,Male,45,Telugu,Married,Lower,Working class,1
2012,-4,IN-AP Andhra Pradesh,5000-20000,Male,47,Telugu,Married,Middle,Upper middle class,1
2012,-4,IN-AP Andhra Pradesh,5000-20000,Male,47,Urdu,Married,Middle,Lower middle class,1
2012,-4,IN-AP Andhra Pradesh,5000-20000,Male,49,Telugu,Married,Lower,Lower middle class,1
2012,-4,IN-AP Andhra Pradesh,5000-20000,Male,52,Telugu,Married,Middle,Lower middle class,1
2012,-4,IN-AP Andhra Pradesh,5000-20000,Male,52,Urdu,Married,Lower,Lower middle class,1
2012,-4,IN-AP Andhra Pradesh,5000-20000,Male,54,Telugu,Single,Lower,Lower middle class,1
2012,-4,IN-AP Andhra Pradesh,5000-20000,Male,55,Telugu,Married,Higher,Upper middle class,1
2012,-4,IN-AP Andhra Pradesh,5000-20000,Male,56,Telugu,Married,Middle,Lower middle class,1
2012,-4,IN-AP Andhra Pradesh,5000-20000,Male,62,Telugu,Married,Higher,Upper middle class,1
2012,-4,IN-AP Andhra Pradesh,5000-20000,Male,62,Telugu,Married,Lower,Upper middle class,1
2012,-4,IN-AP Andhra Pradesh,5000-20000,Male,62,Telugu,Married,Middle,Lower middle class,1
2012,-4,IN-AP Andhra Pradesh,5000-20000,Male,72,Telugu,Married,Lower,Lower middle class,1
2012,-4,IN-AP Andhra Pradesh,5000-20000,Male,72,Telugu,Married,Middle,Lower middle class,1
2012,-4,IN-AP Andhra Pradesh,5000-20000,Male,72,Telugu,Married,Middle,Upper middle class,1
2012,-4,IN-AP Andhra Pradesh,500000 and more,Female,38,Telugu,Married,Middle,Lower middle class,1
2012,-4,IN-AP Andhra Pradesh,No answer; Missing,Male,50,Telugu,Married,Higher,Upper middle class,1
2012,-4,IN-AP Andhra Pradesh,"Under 5,000",Female,23,Telugu,Married,Middle,Lower middle class,1
2012,-4,IN-AP Andhra Pradesh,"Under 5,000",Female,23,Telugu,Married,Middle,Upper middle class,2
2012,-4,IN-AP Andhra Pradesh,"Under 5,000",Female,24,"Other local; aboriginal; tribal, community",Married,Lower,Lower middle class,1
2012,-4,IN-AP Andhra Pradesh,"Under 5,000",Female,24,Telugu,Married,Middle,Lower middle class,2
2012,-4,IN-AP Andhra Pradesh,"Under 5,000",Female,25,Tamil,Married,Higher,Lower middle class,1
2012,-4,IN-AP Andhra Pradesh,"Under 5,000",Female,25,Telugu,Single,Higher,Upper middle class,1
2012,-4,IN-AP Andhra Pradesh,"Under 5,000",Female,26,Telugu,Married,Higher,Upper middle class,1
2012,-4,IN-AP Andhra Pradesh,"Under 5,000",Female,26,Telugu,Married,Lower,Lower class,1
2012,-4,IN-AP Andhra Pradesh,"Under 5,000",Female,27,Tamil,Married,Lower,Upper middle class,1
2012,-4,IN-AP Andhra Pradesh,"Under 5,000",Female,28,Telugu,Married,Lower,Lower middle class,2
2012,-4,IN-AP Andhra Pradesh,"Under 5,000",Female,28,Telugu,Married,Middle,Lower middle class,1
2012,-4,IN-AP Andhra Pradesh,"Under 5,000",Female,29,"Other local; aboriginal; tribal, community",Married,Middle,Lower middle class,2
2012,-4,IN-AP Andhra Pradesh,"Under 5,000",Female,29,Telugu,Married,Lower,Lower middle class,1
2012,-4,IN-AP Andhra Pradesh,"Under 5,000",Female,29,Telugu,Married,Middle,Lower middle class,2
2012,-4,IN-AP Andhra Pradesh,"Under 5,000",Female,29,Urdu,Married,Lower,Upper middle class,1
2012,-4,IN-AP Andhra Pradesh,"Under 5,000",Female,30,Telugu,Married,Lower,Lower class,1
2012,-4,IN-AP Andhra Pradesh,"Under 5,000",Female,30,Telugu,Married,Middle,Lower middle class,1
2012,-4,IN-AP Andhra Pradesh,"Under 5,000",Female,31,Telugu,Married,Lower,Lower middle class,1
2012,-4,IN-AP Andhra Pradesh,"Under 5,000",Female,31,Urdu,Married,Higher,Working class,1
2012,-4,IN-AP Andhra Pradesh,"Under 5,000",Female,32,Telugu,Married,Higher,Don´t know,1
2012,-4,IN-AP Andhra Pradesh,"Under 5,000",Female,32,Telugu,Married,Lower,Lower middle class,1
2012,-4,IN-AP Andhra Pradesh,"Under 5,000",Female,33,Telugu,Living together as married,Lower,Lower class,1
2012,-4,IN-AP Andhra Pradesh,"Under 5,000",Female,33,Telugu,Married,Middle,Lower middle class,1
2012,-4,IN-AP Andhra Pradesh,"Under 5,000",Female,33,Telugu,Married,Middle,Upper middle class,1
2012,-4,IN-AP Andhra Pradesh,"Under 5,000",Female,34,Telugu,Married,Lower,Lower middle class,1
2012,-4,IN-AP Andhra Pradesh,"Under 5,000",Female,34,Telugu,Married,Middle,Lower class,1
2012,-4,IN-AP Andhra Pradesh,"Under 5,000",Female,34,Telugu,Married,Middle,Lower middle class,1
2012,-4,IN-AP Andhra Pradesh,"Under 5,000",Female,36,Telugu,Married,Higher,Upper middle class,1
2012,-4,IN-AP Andhra Pradesh,"Under 5,000",Female,36,Telugu,Married,Middle,Lower middle class,1
2012,-4,IN-AP Andhra Pradesh,"Under 5,000",Female,37,Telugu,Married,Lower,Lower class,2
2012,-4,IN-AP Andhra Pradesh,"Under 5,000",Female,37,Telugu,Married,Lower,Lower middle class,1
2012,-4,IN-AP Andhra Pradesh,"Under 5,000",Female,37,Telugu,Married,Middle,Lower middle class,1
2012,-4,IN-AP Andhra Pradesh,"Under 5,000",Female,38,Telugu,Living together as married,Lower,Lower class,1
2012,-4,IN-AP Andhra Pradesh,"Under 5,000",Female,38,Telugu,Married,Lower,Lower middle class,1
2012,-4,IN-AP Andhra Pradesh,"Under 5,000",Female,39,"Other local; aboriginal; tribal, community",Married,Lower,Lower middle class,2
2012,-4,IN-AP Andhra Pradesh,"Under 5,000",Female,39,Telugu,Married,Middle,Upper middle class,1
2012,-4,IN-AP Andhra Pradesh,"Under 5,000",Female,40,Telugu,Married,Lower,Working class,2
2012,-4,IN-AP Andhra Pradesh,"Under 5,000",Female,44,Telugu,Married,Middle,Lower middle class,1
2012,-4,IN-AP Andhra Pradesh,"Under 5,000",Female,45,Telugu,Married,Lower,Lower middle class,1
2012,-4,IN-AP Andhra Pradesh,"Under 5,000",Female,46,Tamil,Married,Lower,Lower middle class,1
2012,-4,IN-AP Andhra Pradesh,"Under 5,000",Female,47,Telugu,Married,Lower,Lower middle class,2
2012,-4,IN-AP Andhra Pradesh,"Under 5,000",Female,47,Telugu,Married,Lower,Working class,2
2012,-4,IN-AP Andhra Pradesh,"Under 5,000",Female,49,Telugu,Married,Lower,Lower middle class,1
2012,-4,IN-AP Andhra Pradesh,"Under 5,000",Female,49,Telugu,Married,Lower,Upper middle class,1
2012,-4,IN-AP Andhra Pradesh,"Under 5,000",Female,50,Telugu,Married,Lower,Lower class,1
2012,-4,IN-AP Andhra Pradesh,"Under 5,000",Female,51,Telugu,Married,Lower,Upper middle class,1
2012,-4,IN-AP Andhra Pradesh,"Under 5,000",Female,52,Telugu,Married,Lower,Lower class,1
2012,-4,IN-AP Andhra Pradesh,"Under 5,000",Female,58,Telugu,Married,Lower,Working class,1
2012,-4,IN-AP Andhra Pradesh,"Under 5,000",Female,59,Tamil,Married,Lower,Lower middle class,1
2012,-4,IN-AP Andhra Pradesh,"Under 5,000",Female,59,Telugu,Married,Middle,Lower middle class,1
2012,-4,IN-AP Andhra Pradesh,"Under 5,000",Female,60,Telugu,Widowed,Lower,Lower class,1
2012,-4,IN-AP Andhra Pradesh,"Under 5,000",Female,62,Telugu,Married,Lower,Lower middle class,1
2012,-4,IN-AP Andhra Pradesh,"Under 5,000",Female,63,Telugu,Married,Lower,Lower middle class,1
2012,-4,IN-AP Andhra Pradesh,"Under 5,000",Female,65,Telugu,Married,Lower,Lower middle class,2
2012,-4,IN-AP Andhra Pradesh,"Under 5,000",Female,65,Telugu,Widowed,Lower,Lower class,1
2012,-4,IN-AP Andhra Pradesh,"Under 5,000",Female,66,Tamil,Married,Lower,Upper middle class,1
2012,-4,IN-AP Andhra Pradesh,"Under 5,000",Male,19,Urdu,Single,Middle,Lower middle class,1
2012,-4,IN-AP Andhra Pradesh,"Under 5,000",Male,20,Telugu,Single,Higher,Working class,2
2012,-4,IN-AP Andhra Pradesh,"Under 5,000",Male,23,Tamil,Single,Higher,Lower middle class,1
2012,-4,IN-AP Andhra Pradesh,"Under 5,000",Male,23,Telugu,Single,Higher,Lower middle class,1
2012,-4,IN-AP Andhra Pradesh,"Under 5,000",Male,23,Telugu,Single,Higher,Upper middle class,1
2012,-4,IN-AP Andhra Pradesh,"Under 5,000",Male,24,Maithili,Single,Higher,Lower middle class,1
2012,-4,IN-AP Andhra Pradesh,"Under 5,000",Male,24,"Other local; aboriginal; tribal, community",Married,Lower,Lower middle class,1
2012,-4,IN-AP Andhra Pradesh,"Under 5,000",Male,24,Telugu,Single,Higher,Upper middle class,1
2012,-4,IN-AP Andhra Pradesh,"Under 5,000",Male,25,Telugu,Married,Middle,Lower middle class,1
2012,-4,IN-AP Andhra Pradesh,"Under 5,000",Male,25,Telugu,Single,Higher,Lower class,1
2012,-4,IN-AP Andhra Pradesh,"Under 5,000",Male,25,Telugu,Single,Higher,Lower middle class,2
2012,-4,IN-AP Andhra Pradesh,"Under 5,000",Male,26,Tamil,Married,Middle,Lower middle class,1
2012,-4,IN-AP Andhra Pradesh,"Under 5,000",Male,26,Telugu,Married,Middle,Lower middle class,1
2012,-4,IN-AP Andhra Pradesh,"Under 5,000",Male,27,Telugu,Married,Lower,Lower class,1
2012,-4,IN-AP Andhra Pradesh,"Under 5,000",Male,28,Tamil,Married,Higher,Lower middle class,1
2012,-4,IN-AP Andhra Pradesh,"Under 5,000",Male,28,Tamil,Married,Middle,Lower middle class,1
2012,-4,IN-AP Andhra Pradesh,"Under 5,000",Male,28,Tamil,Single,Higher,Upper middle class,1
2012,-4,IN-AP Andhra Pradesh,"Under 5,000",Male,28,Tamil,Single,Higher,Working class,1
2012,-4,IN-AP Andhra Pradesh,"Under 5,000",Male,28,Telugu,Married,Higher,Lower middle class,2
2012,-4,IN-AP Andhra Pradesh,"Under 5,000",Male,28,Telugu,Married,Middle,Lower class,1
2012,-4,IN-AP Andhra Pradesh,"Under 5,000",Male,28,Telugu,Married,Middle,Lower middle class,2
2012,-4,IN-AP Andhra Pradesh,"Under 5,000",Male,29,Telugu,Married,Higher,Lower middle class,1
2012,-4,IN-AP Andhra Pradesh,"Under 5,000",Male,29,Telugu,Married,Middle,Lower class,1
2012,-4,IN-AP Andhra Pradesh,"Under 5,000",Male,30,"Other local; aboriginal; tribal, community",Married,Lower,Lower class,2
2012,-4,IN-AP Andhra Pradesh,"Under 5,000",Male,30,"Other local; aboriginal; tribal, community",Married,Lower,Lower middle class,2
2012,-4,IN-AP Andhra Pradesh,"Under 5,000",Male,30,Telugu,Married,Lower,Lower class,1
2012,-4,IN-AP Andhra Pradesh,"Under 5,000",Male,30,Telugu,Married,Middle,Lower middle class,1
2012,-4,IN-AP Andhra Pradesh,"Under 5,000",Male,31,Telugu,Married,Middle,Working class,1
2012,-4,IN-AP Andhra Pradesh,"Under 5,000",Male,32,Telugu,Married,Lower,Lower class,2
2012,-4,IN-AP Andhra Pradesh,"Under 5,000",Male,32,Telugu,Married,Lower,Lower middle class,1
2012,-4,IN-AP Andhra Pradesh,"Under 5,000",Male,32,Telugu,Married,Middle,Lower middle class,2
2012,-4,IN-AP Andhra Pradesh,"Under 5,000",Male,32,Telugu,Married,Middle,Working class,1
2012,-4,IN-AP Andhra Pradesh,"Under 5,000",Male,33,Tamil,Married,Middle,Lower middle class,1
2012,-4,IN-AP Andhra Pradesh,"Under 5,000",Male,33,Telugu,Married,Middle,Lower middle class,1
2012,-4,IN-AP Andhra Pradesh,"Under 5,000",Male,34,Tamil,Married,Middle,Lower middle class,1
2012,-4,IN-AP Andhra Pradesh,"Under 5,000",Male,35,"Other local; aboriginal; tribal, community",Married,Lower,Lower middle class,2
2012,-4,IN-AP Andhra Pradesh,"Under 5,000",Male,35,Telugu,Married,Lower,Lower class,1
2012,-4,IN-AP Andhra Pradesh,"Under 5,000",Male,35,Urdu,Married,Lower,Lower middle class,1
2012,-4,IN-AP Andhra Pradesh,"Under 5,000",Male,36,Telugu,Married,Lower,Working class,1
2012,-4,IN-AP Andhra Pradesh,"Under 5,000",Male,38,Telugu,Married,Middle,Lower class,1
2012,-4,IN-AP Andhra Pradesh,"Under 5,000",Male,39,"Other local; aboriginal; tribal, community",Married,Middle,Lower middle class,2
2012,-4,IN-AP Andhra Pradesh,"Under 5,000",Male,39,Telugu,Married,Lower,Lower class,1
2012,-4,IN-AP Andhra Pradesh,"Under 5,000",Male,39,Telugu,Married,Middle,Upper middle class,1
2012,-4,IN-AP Andhra Pradesh,"Under 5,000",Male,40,Telugu,Married,Lower,Lower class,1
2012,-4,IN-AP Andhra Pradesh,"Under 5,000",Male,40,Urdu,Married,Higher,Lower middle class,1
2012,-4,IN-AP Andhra Pradesh,"Under 5,000",Male,40,Urdu,Married,Lower,Lower middle class,1
2012,-4,IN-AP Andhra Pradesh,"Under 5,000",Male,42,Telugu,Married,Lower,Lower middle class,2
2012,-4,IN-AP Andhra Pradesh,"Under 5,000",Male,42,Telugu,Married,Middle,Lower middle class,1
2012,-4,IN-AP Andhra Pradesh,"Under 5,000",Male,43,Telugu,Married,Middle,Upper middle class,1
2012,-4,IN-AP Andhra Pradesh,"Under 5,000",Male,43,Telugu,Widowed,Higher,Lower middle class,1
2012,-4,IN-AP Andhra Pradesh,"Under 5,000",Male,45,Telugu,Married,Lower,Lower class,1
2012,-4,IN-AP Andhra Pradesh,"Under 5,000",Male,45,Telugu,Married,Middle,Upper middle class,1
2012,-4,IN-AP Andhra Pradesh,"Under 5,000",Male,46,Telugu,Married,Middle,Lower middle class,1
2012,-4,IN-AP Andhra Pradesh,"Under 5,000",Male,46,Telugu,Married,Middle,Upper middle class,1
2012,-4,IN-AP Andhra Pradesh,"Under 5,000",Male,48,Telugu,Married,Middle,Lower middle class,1
2012,-4,IN-AP Andhra Pradesh,"Under 5,000",Male,48,Telugu,Married,Middle,Upper middle class,1
2012,-4,IN-AP Andhra Pradesh,"Under 5,000",Male,50,Telugu,Married,Lower,Lower class,1
2012,-4,IN-AP Andhra Pradesh,"Under 5,000",Male,52,Telugu,Married,Lower,Lower middle class,3
2012,-4,IN-AP Andhra Pradesh,"Under 5,000",Male,53,Telugu,Married,Lower,Lower class,1
2012,-4,IN-AP Andhra Pradesh,"Under 5,000",Male,53,Telugu,Married,Lower,Lower middle class,2
2012,-4,IN-AP Andhra Pradesh,"Under 5,000",Male,54,Telugu,Married,Lower,Lower middle class,1
2012,-4,IN-AP Andhra Pradesh,"Under 5,000",Male,55,Telugu,Married,Lower,Working class,2
2012,-4,IN-AP Andhra Pradesh,"Under 5,000",Male,57,Telugu,Married,Lower,Lower middle class,1
2012,-4,IN-AP Andhra Pradesh,"Under 5,000",Male,57,Telugu,Married,Lower,Working class,1
2012,-4,IN-AP Andhra Pradesh,"Under 5,000",Male,60,Tamil,Married,Lower,Upper middle class,1
