V262: Year survey,B_COUNTRY_ALPHA: Country code ISO 3166 alpha,N_REGION_ISO: Region (ISO),V240: Sex,V242: Age,V247: Language at home,V57: Marital status,V248R: Highest educational level: Respondent (recoded into 3 groups),V238: Social class (subjective),Counts
2011,-4,US-CA California,Female,34,English,Married,Higher,Upper middle class,1
2011,-4,US-CA California,Female,34,English,Single,Higher,Lower middle class,1
2011,-4,US-CA California,Female,34,English,Single,Middle,Working class,1
2011,-4,US-CA California,Female,34,Spanish; Castilian,Married,Lower,Upper middle class,1
2011,-4,US-CA California,Female,35,English,Married,Middle,Working class,1
2011,-4,US-CA California,Female,35,Spanish; Castilian,Married,Higher,Lower middle class,1
2011,-4,US-CA California,Female,36,English,Married,Higher,Lower middle class,1
2011,-4,US-CA California,Female,36,English,Married,Higher,Upper middle class,2
2011,-4,US-CA California,Female,36,English,Married,Middle,Working class,1
2011,-4,US-CA California,Female,36,Spanish; Castilian,Separated,Middle,Lower class,1
2011,-4,US-CA California,Female,37,English,Married,Higher,Upper middle class,1
2011,-4,US-CA California,Female,37,Spanish; Castilian,Single,Higher,Lower middle class,1
2011,-4,US-CA California,Female,38,English,Married,Middle,Lower middle class,1
2011,-4,US-CA California,Female,38,English,Single,Higher,Lower middle class,1
2011,-4,US-CA California,Female,38,Spanish; Castilian,Living together as married,Middle,Working class,1
2011,-4,US-CA California,Female,38,Spanish; Castilian,Married,Middle,Lower middle class,1
2011,-4,US-CA California,Female,39,English,Married,Higher,Upper middle class,1
2011,-4,US-CA California,Female,40,English,Married,Higher,Lower middle class,2
2011,-4,US-CA California,Female,40,Spanish; Castilian,Living together as married,Middle,Lower middle class,1
2011,-4,US-CA California,Female,41,English,Married,Higher,Upper middle class,1
2011,-4,US-CA California,Female,42,No answer,Married,Higher,No answer,1
2011,-4,US-CA California,Female,44,English,Married,Higher,Lower middle class,1
2011,-4,US-CA California,Female,44,English,Married,Higher,Upper middle class,1
2011,-4,US-CA California,Female,44,English,Separated,Higher,Working class,1
2011,-4,US-CA California,Female,44,English,Single,Higher,Working class,1
2011,-4,US-CA California,Female,45,English,Married,Higher,Upper middle class,1
2011,-4,US-CA California,Female,46,English,Divorced,Higher,Working class,1
2011,-4,US-CA California,Female,46,English,Married,Higher,Upper middle class,1
2011,-4,US-CA California,Female,47,English,Divorced,Higher,Upper middle class,1
2011,-4,US-CA California,Female,47,English,Living together as married,Higher,Upper middle class,1
2011,-4,US-CA California,Female,47,English,Married,Higher,Upper middle class,1
2011,-4,US-CA California,Female,47,English,Married,Middle,Upper middle class,1
2011,-4,US-CA California,Female,47,English,Married,Middle,Working class,1
2011,-4,US-CA California,Female,48,English,Single,Higher,Working class,1
2011,-4,US-CA California,Female,48,Spanish; Castilian,Married,Middle,Upper middle class,1
2011,-4,US-CA California,Female,50,English,Married,Higher,No answer,1
2011,-4,US-CA California,Female,50,English,Married,Higher,Upper middle class,1
2011,-4,US-CA California,Female,52,English,Living together as married,Higher,Working class,1
2011,-4,US-CA California,Female,52,English,Married,Higher,Lower middle class,1
2011,-4,US-CA California,Female,52,Spanish; Castilian,Married,Middle,Upper middle class,1
2011,-4,US-CA California,Female,53,English,Divorced,Middle,Lower class,1
2011,-4,US-CA California,Female,53,English,Married,Higher,Upper middle class,1
2011,-4,US-CA California,Female,53,Spanish; Castilian,Divorced,Higher,Working class,1
2011,-4,US-CA California,Female,54,English,Married,Higher,Working class,1
2011,-4,US-CA California,Female,54,English,Married,Lower,Lower middle class,1
2011,-4,US-CA California,Female,54,Spanish; Castilian,Married,Higher,Upper middle class,1
2011,-4,US-CA California,Female,55,English,Living together as married,Higher,Working class,1
2011,-4,US-CA California,Female,55,English,Married,Middle,Lower middle class,1
2011,-4,US-CA California,Female,56,English,Divorced,Higher,Working class,1
2011,-4,US-CA California,Female,56,English,Divorced,Middle,Lower class,1
2011,-4,US-CA California,Female,56,English,Living together as married,Middle,Working class,1
2011,-4,US-CA California,Female,57,English,Widowed,Higher,No answer,1
2011,-4,US-CA California,Female,58,English,Married,Higher,Upper class,1
2011,-4,US-CA California,Female,58,English,Single,Higher,Lower middle class,1
2011,-4,US-CA California,Female,58,Spanish; Castilian,Married,Lower,Working class,1
2011,-4,US-CA California,Female,59,English,Married,Higher,Upper middle class,1
2011,-4,US-CA California,Female,60,English,Widowed,Middle,Upper middle class,1
2011,-4,US-CA California,Female,60,Spanish; Castilian,Married,Middle,Working class,1
2011,-4,US-CA California,Female,60,Spanish; Castilian,Separated,Lower,Working class,1
2011,-4,US-CA California,Female,61,English,Married,Higher,Upper middle class,1
2011,-4,US-CA California,Female,61,English,Married,Higher,Working class,2
2011,-4,US-CA California,Female,61,English,Married,Middle,Upper middle class,1
2011,-4,US-CA California,Female,61,English,Single,Middle,Lower middle class,1
2011,-4,US-CA California,Female,62,English,Married,Higher,Upper middle class,1
2011,-4,US-CA California,Female,63,English,Married,Higher,Lower middle class,1
2011,-4,US-CA California,Female,63,English,Single,Higher,Upper middle class,1
2011,-4,US-CA California,Female,64,English,Married,Higher,Upper middle class,1
2011,-4,US-CA California,Female,64,English,Married,Middle,Lower middle class,1
2011,-4,US-CA California,Female,65,English,Married,Higher,Upper middle class,1
2011,-4,US-CA California,Female,65,English,Married,Middle,Working class,1
2011,-4,US-CA California,Female,66,English,Divorced,Higher,Upper middle class,1
2011,-4,US-CA California,Female,66,English,Married,Higher,Lower middle class,1
2011,-4,US-CA California,Female,66,English,Married,Higher,Upper middle class,1
2011,-4,US-CA California,Female,66,English,Single,Higher,Upper middle class,1
2011,-4,US-CA California,Female,67,English,Widowed,Higher,Working class,1
2011,-4,US-CA California,Female,69,English,Married,Middle,Upper middle class,1
2011,-4,US-CA California,Female,70,English,Married,Higher,Upper middle class,1
2011,-4,US-CA California,Female,70,English,Widowed,Middle,Lower middle class,1
2011,-4,US-CA California,Female,71,English,Widowed,Higher,Upper middle class,1
2011,-4,US-CA California,Female,74,English,Widowed,Higher,Lower middle class,1
2011,-4,US-CA California,Female,75,English,Divorced,Higher,Lower middle class,1
2011,-4,US-CA California,Female,75,English,Living together as married,Higher,Upper middle class,1
2011,-4,US-CA California,Female,76,English,Widowed,Higher,Lower middle class,1
2011,-4,US-CA California,Female,79,English,Married,Higher,Upper middle class,1
2011,-4,US-CA California,Female,80,English,Divorced,Middle,Working class,1
2011,-4,US-CA California,Female,80,English,Married,Higher,Lower middle class,1
2011,-4,US-CA California,Female,81,English,Widowed,Higher,Upper middle class,1
2011,-4,US-CA California,Female,83,English,Widowed,Higher,Upper middle class,1
2011,-4,US-CA California,Female,85,English,Widowed,Higher,Upper middle class,1
2011,-4,US-CA California,Female,85,English,Widowed,Middle,Upper middle class,1
2011,-4,US-CA California,Female,87,English,Married,Higher,Upper middle class,1
2011,-4,US-CA California,Male,18,English,Single,Middle,Lower class,1
2011,-4,US-CA California,Male,19,English,Living together as married,Middle,Lower middle class,1
2011,-4,US-CA California,Male,20,Spanish; Castilian,Single,Middle,Lower middle class,1
2011,-4,US-CA California,Male,21,English,Single,Higher,Lower middle class,1
2011,-4,US-CA California,Male,21,Spanish; Castilian,Single,Middle,Lower middle class,1
2011,-4,US-CA California,Male,22,English,Living together as married,Middle,Lower middle class,1
2011,-4,US-CA California,Male,22,English,Single,Higher,Lower middle class,1
2011,-4,US-CA California,Male,22,English,Single,Higher,No answer,1
2011,-4,US-CA California,Male,23,English,Married,Higher,Working class,1
2011,-4,US-CA California,Male,23,Spanish; Castilian,Living together as married,Middle,Working class,2
2011,-4,US-CA California,Male,23,Spanish; Castilian,Separated,Middle,Lower middle class,1
2011,-4,US-CA California,Male,24,English,Living together as married,Middle,Upper class,1
2011,-4,US-CA California,Male,24,Spanish; Castilian,Single,Middle,Lower middle class,1
2011,-4,US-CA California,Male,25,Spanish; Castilian,Living together as married,Middle,Working class,1
2011,-4,US-CA California,Male,25,Standard Chinese; Mandarin; Putonghua; Guoyu,Single,Higher,Lower middle class,1
2011,-4,US-CA California,Male,26,English,Single,Higher,Upper middle class,1
2011,-4,US-CA California,Male,26,English,Single,Middle,Working class,1
2011,-4,US-CA California,Male,26,Other,Married,Higher,Lower middle class,1
2011,-4,US-CA California,Male,26,Spanish; Castilian,Married,Lower,Working class,1
2011,-4,US-CA California,Male,27,English,Single,Higher,Lower middle class,1
2011,-4,US-CA California,Male,27,English,Single,Higher,Working class,1
2011,-4,US-CA California,Male,27,English,Single,Middle,No answer,1
2011,-4,US-CA California,Male,27,Spanish; Castilian,Single,Higher,Upper class,1
2011,-4,US-CA California,Male,28,Spanish; Castilian,Married,Middle,Lower middle class,1
2011,-4,US-CA California,Male,28,Standard Chinese; Mandarin; Putonghua; Guoyu,Single,Higher,Upper middle class,1
2011,-4,US-CA California,Male,29,English,Divorced,Higher,Lower middle class,1
2011,-4,US-CA California,Male,29,English,Married,Higher,No answer,1
2011,-4,US-CA California,Male,29,English,Married,Higher,Upper middle class,1
2011,-4,US-CA California,Male,29,English,Single,Higher,Working class,1
2011,-4,US-CA California,Male,29,Spanish; Castilian,Married,Middle,Lower middle class,1
2011,-4,US-CA California,Male,29,Spanish; Castilian,Married,Middle,No answer,1
2011,-4,US-CA California,Male,29,Spanish; Castilian,Married,Middle,Working class,1
2011,-4,US-CA California,Male,29,Spanish; Castilian,Single,Middle,Working class,1
2011,-4,US-CA California,Male,30,English,Living together as married,Higher,Lower middle class,1
2011,-4,US-CA California,Male,30,Other,Single,Higher,Lower middle class,1
2011,-4,US-CA California,Male,32,English,Married,Higher,Upper middle class,1
2011,-4,US-CA California,Male,32,Japanese,Married,Higher,Lower middle class,1
2011,-4,US-CA California,Male,32,No answer,Married,Middle,No answer,1
2011,-4,US-CA California,Male,34,English,Married,Higher,Working class,2
2011,-4,US-CA California,Male,35,Spanish; Castilian,Living together as married,Middle,Lower middle class,1
2011,-4,US-CA California,Male,35,Spanish; Castilian,Married,Lower,Working class,1
2011,-4,US-CA California,Male,36,English,Married,Higher,Upper class,1
2011,-4,US-CA California,Male,36,English,Married,Middle,Upper middle class,1
2011,-4,US-CA California,Male,36,Spanish; Castilian,Married,Lower,Working class,1
2011,-4,US-CA California,Male,37,English,Married,Higher,Working class,1
2011,-4,US-CA California,Male,37,English,Single,Higher,Upper middle class,1
2011,-4,US-CA California,Male,37,English,Single,Middle,Working class,1
2011,-4,US-CA California,Male,37,No answer,Married,Middle,Working class,1
2011,-4,US-CA California,Male,37,Spanish; Castilian,Married,Higher,Upper middle class,1
2011,-4,US-CA California,Male,38,English,Married,Higher,Upper middle class,1
2011,-4,US-CA California,Male,38,Spanish; Castilian,Married,Middle,Working class,1
2011,-4,US-CA California,Male,41,English,Divorced,Higher,Upper middle class,1
2011,-4,US-CA California,Male,41,English,Divorced,Middle,Working class,1
2011,-4,US-CA California,Male,41,English,Married,Higher,Lower middle class,1
2011,-4,US-CA California,Male,41,English,Married,Higher,Upper middle class,3
2011,-4,US-CA California,Male,41,English,Married,Middle,Working class,1
2011,-4,US-CA California,Male,41,English,Single,Higher,Upper middle class,1
2011,-4,US-CA California,Male,41,English,Single,Middle,Working class,1
2011,-4,US-CA California,Male,41,Spanish; Castilian,Married,Middle,Working class,1
2011,-4,US-CA California,Male,42,English,Married,Higher,Working class,1
2011,-4,US-CA California,Male,42,English,Married,Middle,Working class,1
2011,-4,US-CA California,Male,43,English,Married,Higher,Lower middle class,1
2011,-4,US-CA California,Male,43,English,Married,Middle,Upper middle class,1
2011,-4,US-CA California,Male,44,English,Married,Higher,Upper middle class,3
2011,-4,US-CA California,Male,44,Spanish; Castilian,Married,Middle,Lower class,1
2011,-4,US-CA California,Male,45,English,Married,Higher,Lower middle class,1
2011,-4,US-CA California,Male,46,English,Married,Higher,Upper middle class,1
2011,-4,US-CA California,Male,46,English,Married,Higher,Working class,1
2011,-4,US-CA California,Male,48,English,Married,Higher,Upper middle class,1
2011,-4,US-CA California,Male,48,English,Single,Higher,Working class,1
2011,-4,US-CA California,Male,48,Spanish; Castilian,Married,Lower,Lower class,1
2011,-4,US-CA California,Male,49,English,Married,Higher,Upper middle class,1
2011,-4,US-CA California,Male,49,English,Married,Higher,Working class,1
2011,-4,US-CA California,Male,49,English,Married,Middle,Working class,1
2011,-4,US-CA California,Male,49,English,Single,Higher,Lower middle class,1
2011,-4,US-CA California,Male,49,English,Single,Middle,Lower middle class,1
2011,-4,US-CA California,Male,50,English,Married,Higher,Upper middle class,1
2011,-4,US-CA California,Male,50,Spanish; Castilian,Married,Middle,Upper class,1
2011,-4,US-CA California,Male,50,Spanish; Castilian,Married,Middle,Working class,1
2011,-4,US-CA California,Male,51,English,Married,Middle,Working class,1
2011,-4,US-CA California,Male,52,English,Married,Higher,Upper middle class,2
2011,-4,US-CA California,Male,52,English,Single,Higher,Upper middle class,1
2011,-4,US-CA California,Male,53,English,Divorced,Higher,Lower middle class,1
2011,-4,US-CA California,Male,53,English,Married,Higher,Upper middle class,1
2011,-4,US-CA California,Male,53,English,Married,Higher,Working class,1
2011,-4,US-CA California,Male,53,Spanish; Castilian,Married,Lower,Lower middle class,1
2011,-4,US-CA California,Male,53,Spanish; Castilian,Married,Lower,Working class,1
2011,-4,US-CA California,Male,54,English,Married,Higher,Lower middle class,1
2011,-4,US-CA California,Male,54,English,Married,Higher,Upper middle class,1
2011,-4,US-CA California,Male,54,English,Married,Middle,Upper middle class,1
2011,-4,US-CA California,Male,55,English,Married,Higher,Working class,1
2011,-4,US-CA California,Male,55,English,Married,Middle,Upper middle class,1
2011,-4,US-CA California,Male,55,English,Single,Higher,Lower middle class,1
2011,-4,US-CA California,Male,55,Other,Married,Middle,Working class,1
2011,-4,US-CA California,Male,56,English,Married,Higher,Upper middle class,1
2011,-4,US-CA California,Male,56,English,Married,Middle,Upper middle class,1
2011,-4,US-CA California,Male,56,English,Married,Middle,Working class,1
2011,-4,US-CA California,Male,56,English,Separated,Lower,Lower middle class,1
2011,-4,US-CA California,Male,56,English,Single,Middle,Lower middle class,1
2011,-4,US-CA California,Male,57,English,Divorced,Middle,Lower class,1
2011,-4,US-CA California,Male,57,English,Married,Higher,Lower middle class,1
2011,-4,US-CA California,Male,58,English,Living together as married,Higher,Upper middle class,1
2011,-4,US-CA California,Male,60,Other,Married,Higher,Upper middle class,1
2011,-4,US-CA California,Male,61,English,Married,Higher,Lower middle class,1
2011,-4,US-CA California,Male,62,English,Married,Higher,Upper middle class,1
2011,-4,US-CA California,Male,62,English,Married,Middle,Lower middle class,1
2011,-4,US-CA California,Male,62,English,Married,Middle,Upper middle class,1
2011,-4,US-CA California,Male,62,Spanish; Castilian,Divorced,Lower,Lower middle class,1
2011,-4,US-CA California,Male,64,English,Married,Higher,Upper middle class,2
2011,-4,US-CA California,Male,64,English,Single,Middle,Working class,1
2011,-4,US-CA California,Male,65,English,Married,Higher,Upper middle class,1
2011,-4,US-CA California,Male,65,English,Single,Higher,Working class,1
2011,-4,US-CA California,Male,65,Spanish; Castilian,Divorced,Lower,Working class,1
2011,-4,US-CA California,Male,66,English,Married,Higher,Lower middle class,1
2011,-4,US-CA California,Male,66,English,Married,Higher,Upper middle class,1
2011,-4,US-CA California,Male,67,English,Married,Higher,Upper middle class,1
2011,-4,US-CA California,Male,67,English,Widowed,Middle,Working class,1
2011,-4,US-CA California,Male,68,English,Married,Higher,Upper middle class,2
2011,-4,US-CA California,Male,68,Spanish; Castilian,Married,Lower,Lower middle class,1
2011,-4,US-CA California,Male,70,English,Married,Higher,Lower middle class,1
2011,-4,US-CA California,Male,70,English,Widowed,Higher,Lower middle class,1
2011,-4,US-CA California,Male,70,Other,Married,Higher,Upper middle class,1
2011,-4,US-CA California,Male,70,Other,Married,Higher,Working class,1
2011,-4,US-CA California,Male,72,English,Married,Middle,Upper middle class,1
2011,-4,US-CA California,Male,73,English,Married,Middle,Upper middle class,1
2011,-4,US-CA California,Male,74,English,Married,Higher,Upper middle class,2
2011,-4,US-CA California,Male,78,English,Single,Higher,Lower middle class,1
2011,-4,US-CA California,Male,80,English,Married,Middle,Upper middle class,1
2011,-4,US-CA California,Male,82,English,Married,Higher,Lower middle class,1
2011,-4,US-CA California,Male,84,English,Married,Middle,Lower middle class,1
2011,-4,US-CO Colorado,Female,19,English,Living together as married,Middle,Working class,1
2011,-4,US-CO Colorado,Female,20,English,Single,Middle,Working class,1
2011,-4,US-CO Colorado,Female,26,English,Separated,Middle,Working class,1
2011,-4,US-CO Colorado,Female,27,English,Living together as married,Middle,Lower middle class,1
2011,-4,US-CO Colorado,Female,27,Spanish; Castilian,Living together as married,Middle,Lower middle class,1
2011,-4,US-CO Colorado,Female,30,English,Married,Higher,Lower middle class,1
2011,-4,US-CO Colorado,Female,34,English,Living together as married,Higher,Working class,1
2011,-4,US-CO Colorado,Female,34,English,Married,Higher,Upper middle class,1
2011,-4,US-CO Colorado,Female,37,English,Married,Middle,Upper middle class,1
2011,-4,US-CO Colorado,Female,41,English,Living together as married,Higher,Lower middle class,1
2011,-4,US-CO Colorado,Female,46,English,Married,Higher,Lower middle class,1
2011,-4,US-CO Colorado,Female,50,English,Married,Higher,Upper middle class,1
2011,-4,US-CO Colorado,Female,51,English,Widowed,Higher,Working class,1
2011,-4,US-CO Colorado,Female,52,English,Single,Higher,Lower middle class,1
2011,-4,US-CO Colorado,Female,53,English,Married,Middle,Working class,1
2011,-4,US-CO Colorado,Female,55,English,Living together as married,Middle,Lower middle class,1
2011,-4,US-CO Colorado,Female,55,English,Married,Higher,Upper middle class,1
2011,-4,US-CO Colorado,Female,61,English,Married,Middle,Lower middle class,1
2011,-4,US-CO Colorado,Female,64,English,Married,Middle,Working class,1
2011,-4,US-CO Colorado,Male,28,English,Married,Higher,Working class,1
2011,-4,US-CO Colorado,Male,30,English,Living together as married,Higher,Upper middle class,1
2011,-4,US-CO Colorado,Male,39,English,Married,Higher,Lower middle class,1
2011,-4,US-CO Colorado,Male,39,English,Married,Middle,Working class,1
